task,model,repeat,outer_fold,n_train,n_test,best_inner_f1_macro,best_parameters,f1_macro,f1_weighted,balanced_accuracy,log_loss,precision_adjacent_normal,recall_adjacent_normal,f1_adjacent_normal,precision_healthy,recall_healthy,f1_healthy,precision_tumor,recall_tumor,f1_tumor,roc_auc_ovr_macro,brier_score_multiclass,roc_auc,pr_auc,brier_score,sensitivity,specificity,negative_predictive_value,positive_predictive_value,analysis_provenance
task_a_three_class,elastic_net,1,3,198,48,0.9613521700331713,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.921727395411606,0.9366565452091767,0.9157894736842106,0.18513577975307083,0.9,0.9473684210526315,0.9230769230769231,0.8888888888888888,0.8,0.8421052631578947,1.0,1.0,1.0,0.9866606170598912,0.09983107067695089,,,,,,,,raw_cel_rma
task_a_three_class,linear_svm,1,3,198,48,0.9674336847956873,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9167862266857963,0.9342718794835007,0.9,0.1738072587863927,0.8636363636363636,1.0,0.926829268292683,1.0,0.7,0.8235294117647058,1.0,1.0,1.0,0.9955535390199636,0.08927455269823377,,,,,,,,raw_cel_rma
task_a_three_class,random_forest,1,3,198,48,0.9611119862403559,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.921727395411606,0.9366565452091767,0.9157894736842106,0.20588723038692294,0.9,0.9473684210526315,0.9230769230769231,0.8888888888888888,0.8,0.8421052631578947,1.0,1.0,1.0,0.9857834240774349,0.11206367636906396,,,,,,,,raw_cel_rma
task_a_three_class,elastic_net,1,4,198,48,0.96127442574811,"{""model__C"": 0.2, ""model__l1_ratio"": 0.5, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9751179751179752,0.9793811668811668,0.9824561403508771,0.10897811176551835,1.0,0.9473684210526315,0.972972972972973,0.9090909090909091,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.04193888909150271,,,,,,,,raw_cel_rma
task_a_three_class,linear_svm,1,4,198,48,0.9897257214330385,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.07294522092522199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014670702474006786,,,,,,,,raw_cel_rma
task_a_three_class,random_forest,1,4,198,48,0.9516089681847063,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.11667600027272736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03973787809146735,,,,,,,,raw_cel_rma
task_a_three_class,elastic_net,2,0,196,50,0.9524281880828736,"{""model__C"": 0.2, ""model__l1_ratio"": 0.5, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9166666666666666,0.92,0.9166666666666666,0.24362548806910986,0.9,0.9,0.9,0.9,0.9,0.9,0.95,0.95,0.95,0.9844444444444443,0.13607420260185454,,,,,,,,raw_cel_rma
task_a_three_class,linear_svm,2,0,196,50,0.9695491177038031,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.8786192274564368,0.8987875173921686,0.8666666666666666,0.22255361817584038,0.8260869565217391,0.95,0.8837209302325582,0.875,0.7,0.7777777777777778,1.0,0.95,0.9743589743589743,0.9855555555555555,0.12564191206251343,,,,,,,,raw_cel_rma
task_a_three_class,random_forest,2,0,196,50,0.9652170222792658,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.8900513478818999,0.8996405648267009,0.8833333333333334,0.2567216979455636,0.8571428571428571,0.9,0.8780487804878049,0.8888888888888888,0.8,0.8421052631578947,0.95,0.95,0.95,0.9838888888888889,0.15068055293974386,,,,,,,,raw_cel_rma
task_a_three_class,elastic_net,2,1,196,50,0.9526852046588888,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9267399267399267,0.9406593406593408,0.9333333333333332,0.123278242934153,0.9473684210526315,0.9,0.9230769230769231,0.8181818181818182,0.9,0.8571428571428571,1.0,1.0,1.0,0.9958333333333332,0.06836325770418643,,,,,,,,raw_cel_rma
task_a_three_class,linear_svm,2,1,196,50,0.9760804972614985,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9500000000000001,0.96,0.9500000000000001,0.10203632785166915,0.95,0.95,0.95,0.9,0.9,0.9,1.0,1.0,1.0,0.998611111111111,0.03731507878700523,,,,,,,,raw_cel_rma
task_a_three_class,random_forest,2,1,196,50,0.9535788748882458,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9267399267399267,0.9406593406593408,0.9333333333333332,0.13432766623703313,0.9473684210526315,0.9,0.9230769230769231,0.8181818181818182,0.9,0.8571428571428571,1.0,1.0,1.0,0.9972222222222222,0.06703941722488191,,,,,,,,raw_cel_rma
task_a_three_class,elastic_net,2,2,196,50,0.9542648129458141,"{""model__C"": 0.2, ""model__l1_ratio"": 0.8, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9337294142172191,0.9404752970606629,0.9333333333333332,0.21302910020841911,0.9047619047619048,0.95,0.926829268292683,0.9,0.9,0.9,1.0,0.95,0.9743589743589743,0.9947222222222223,0.10381230969354811,,,,,,,,raw_cel_rma
