task,repeat,outer_fold,panel_size,effective_gene_count,n_train,n_test,analysis_provenance,f1_macro,f1_weighted,balanced_accuracy,log_loss,precision_adjacent_normal,recall_adjacent_normal,f1_adjacent_normal,precision_healthy,recall_healthy,f1_healthy,precision_tumor,recall_tumor,f1_tumor,roc_auc_ovr_macro,brier_score_multiclass,roc_auc,pr_auc,brier_score,sensitivity,specificity,negative_predictive_value,positive_predictive_value
task_a_three_class,0,4,full_nonzero,22,196,50,raw_cel_rma,0.9229781771501925,0.9391527599486521,0.9166666666666666,0.25426629833521536,0.9047619047619048,0.95,0.926829268292683,0.8888888888888888,0.8,0.8421052631578947,1.0,1.0,1.0,0.9794444444444445,0.13638895317087016,,,,,,,
task_a_three_class,0,4,nested_selected_policy,5,196,50,raw_cel_rma,0.9229781771501925,0.9391527599486521,0.9166666666666666,0.2765766670648684,0.9047619047619048,0.95,0.926829268292683,0.8888888888888888,0.8,0.8421052631578947,1.0,1.0,1.0,0.9727777777777779,0.14838887921221194,,,,,,,
task_a_three_class,1,0,3,3,196,50,raw_cel_rma,0.8748868485710591,0.881443165653692,0.8666666666666667,0.3655426446101928,0.7916666666666666,0.95,0.8636363636363636,0.8888888888888888,0.8,0.8421052631578947,1.0,0.85,0.918918918918919,0.9647222222222221,0.1680043980312923,,,,,,,
task_a_three_class,1,0,5,5,196,50,raw_cel_rma,0.9173767752715122,0.9208521303258145,0.9166666666666666,0.3183235356285454,0.8636363636363636,0.95,0.9047619047619048,0.9,0.9,0.9,1.0,0.9,0.9473684210526315,0.9661111111111111,0.14112722662015162,,,,,,,
task_a_three_class,1,0,10,10,196,50,raw_cel_rma,0.9421928805754223,0.9401552662143163,0.9500000000000001,0.23086855052855879,0.9047619047619048,0.95,0.926829268292683,0.9090909090909091,1.0,0.9523809523809523,1.0,0.9,0.9473684210526315,0.9880555555555555,0.12458251083387907,,,,,,,
task_a_three_class,1,0,15,15,196,50,raw_cel_rma,0.958913308913309,0.9602197802197802,0.9666666666666667,0.18266588837147194,0.95,0.95,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.95,0.9743589743589743,0.9955555555555556,0.09666865651945898,,,,,,,
task_a_three_class,1,0,20,20,196,50,raw_cel_rma,0.958913308913309,0.9602197802197802,0.9666666666666667,0.177167884938264,0.95,0.95,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.95,0.9743589743589743,0.9974999999999999,0.09431132230689063,,,,,,,
task_a_three_class,1,0,full_nonzero,48,196,50,raw_cel_rma,0.958913308913309,0.9602197802197802,0.9666666666666667,0.17449067782226207,0.95,0.95,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.95,0.9743589743589743,0.9969444444444444,0.09311384740095868,,,,,,,
task_a_three_class,1,0,nested_selected_policy,5,196,50,raw_cel_rma,0.9173767752715122,0.9208521303258145,0.9166666666666666,0.3183235356285454,0.8636363636363636,0.95,0.9047619047619048,0.9,0.9,0.9,1.0,0.9,0.9473684210526315,0.9661111111111111,0.14112722662015162,,,,,,,
task_a_three_class,1,1,3,3,196,50,raw_cel_rma,0.9755799755799756,0.9802197802197802,0.9833333333333334,0.19776981043628783,1.0,0.95,0.9743589743589743,0.9090909090909091,1.0,0.9523809523809523,1.0,1.0,1.0,0.9994444444444444,0.08298553677172152,,,,,,,
task_a_three_class,1,1,5,5,196,50,raw_cel_rma,0.9521531100478469,0.9607655502392345,0.9666666666666667,0.18088205524292952,1.0,0.9,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,0.08128086686299668,,,,,,,
task_a_three_class,1,1,10,10,196,50,raw_cel_rma,0.9521531100478469,0.9607655502392345,0.9666666666666667,0.15615751414973,1.0,0.9,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,0.07011905656223211,,,,,,,
task_a_three_class,1,1,15,15,196,50,raw_cel_rma,0.9521531100478469,0.9607655502392345,0.9666666666666667,0.15017523361490817,1.0,0.9,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,0.06725120579748578,,,,,,,
task_a_three_class,1,1,20,20,196,50,raw_cel_rma,0.9521531100478469,0.9607655502392345,0.9666666666666667,0.15052683419785307,1.0,0.9,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,0.06797176759413388,,,,,,,
task_a_three_class,1,1,full_nonzero,31,196,50,raw_cel_rma,0.9521531100478469,0.9607655502392345,0.9666666666666667,0.14942743181294202,1.0,0.9,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,0.06756533501589647,,,,,,,
task_a_three_class,1,1,nested_selected_policy,5,196,50,raw_cel_rma,0.9521531100478469,0.9607655502392345,0.9666666666666667,0.18088205524292952,1.0,0.9,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,0.08128086686299668,,,,,,,
task_a_three_class,1,2,3,3,196,50,raw_cel_rma,0.8642533936651584,0.8832579185520362,0.9,0.33796780522344105,1.0,0.7,0.8235294117647058,0.625,1.0,0.7692307692307693,1.0,1.0,1.0,0.9783333333333334,0.19497595469579201,,,,,,,
task_a_three_class,1,2,5,5,196,50,raw_cel_rma,0.9355089355089355,0.9407925407925407,0.9499999999999998,0.31279234901923336,0.9473684210526315,0.9,0.9230769230769231,0.8333333333333334,1.0,0.9090909090909091,1.0,0.95,0.9743589743589743,0.9838888888888889,0.16770140350058094,,,,,,,
task_a_three_class,1,2,10,10,196,50,raw_cel_rma,0.9355089355089355,0.9407925407925407,0.9499999999999998,0.2663059488699362,0.9473684210526315,0.9,0.9230769230769231,0.8333333333333334,1.0,0.9090909090909091,1.0,0.95,0.9743589743589743,0.9888888888888889,0.13904597409903421,,,,,,,
task_a_three_class,1,2,15,15,196,50,raw_cel_rma,0.9128870112851807,0.9215513700639559,0.9333333333333332,0.25551349349001806,0.9444444444444444,0.85,0.8947368421052632,0.7692307692307693,1.0,0.8695652173913043,1.0,0.95,0.9743589743589743,0.9891666666666666,0.13477776125353239,,,,,,,
