task,model,metric,mean,median,standard_deviation,ci_lower,ci_upper,bootstrap_iterations,analysis_provenance
task_b_field_effect,elastic_net,f1_macro,0.9923634860541527,0.9926202941909749,0.0076760900024926354,0.9758917380189536,1.0,1000,raw_cel_rma
task_b_field_effect,elastic_net,balanced_accuracy,0.9949054884644842,0.995,0.005057546278253659,0.9838665848527349,1.0,1000,raw_cel_rma
task_b_field_effect,elastic_net,log_loss,0.1252911233485257,0.12456634019499374,0.009064463011851296,0.11016460711041554,0.14567833623935744,1000,raw_cel_rma
task_b_field_effect,elastic_net,roc_auc,0.9997992167372419,1.0,0.0003496377730806024,0.9987752009894867,1.0,1000,raw_cel_rma
task_b_field_effect,elastic_net,pr_auc,0.9996028346759251,1.0,0.0007066163553440805,0.9976452119309263,1.0000000000000002,1000,raw_cel_rma
task_b_field_effect,elastic_net,brier_score,0.01877982548732479,0.018386512743671375,0.0033891229966335275,0.013830007055873176,0.02627594658182234,1000,raw_cel_rma
task_b_field_effect,linear_svm,f1_macro,1.0,1.0,0.0,1.0,1.0,1000,raw_cel_rma
task_b_field_effect,linear_svm,balanced_accuracy,1.0,1.0,0.0,1.0,1.0,1000,raw_cel_rma
task_b_field_effect,linear_svm,log_loss,0.06477415164335429,0.06456229474753683,0.005840893034218635,0.054266324836092075,0.07691013150194102,1000,raw_cel_rma
task_b_field_effect,linear_svm,roc_auc,1.0,1.0,3.5125902029716364e-17,0.9999999999999999,1.0,1000,raw_cel_rma
task_b_field_effect,linear_svm,pr_auc,1.0,1.0,9.313333357939392e-17,0.9999999999999998,1.0000000000000002,1000,raw_cel_rma
task_b_field_effect,linear_svm,brier_score,0.007200602362893562,0.007073388712182677,0.0017654192734315878,0.004354339324497473,0.01116405206213864,1000,raw_cel_rma
task_b_field_effect,random_forest,f1_macro,0.9923634860541527,0.9926202941909749,0.0076760900024926354,0.9758917380189536,1.0,1000,raw_cel_rma
task_b_field_effect,random_forest,balanced_accuracy,0.9949054884644842,0.995,0.005057546278253659,0.9838665848527349,1.0,1000,raw_cel_rma
task_b_field_effect,random_forest,log_loss,0.043436942305814824,0.043006848264943116,0.008927718785750192,0.027899514631936833,0.062334730492544226,1000,raw_cel_rma
task_b_field_effect,random_forest,roc_auc,0.9998029294425951,1.0,0.0003420703847563569,0.9988174696535734,1.0,1000,raw_cel_rma
task_b_field_effect,random_forest,pr_auc,0.9996157340470764,1.0,0.0006747007189804454,0.9978625541125541,1.0000000000000002,1000,raw_cel_rma
task_b_field_effect,random_forest,brier_score,0.007870714731085875,0.0075396880724720415,0.003074486279937261,0.0029210709565863804,0.014531800209216602,1000,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,f1_macro,0.9848035724002372,0.9846902908324003,0.009010943054166103,0.9642401021711366,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,balanced_accuracy,0.9848112244897959,0.9846938775510203,0.008999835979147986,0.9642857142857143,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,log_loss,0.08324543862471113,0.08253848914006603,0.009704273928690313,0.06665627317369519,0.10406759251669719,1000,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,roc_auc,0.99968273635985,0.9997917534360683,0.00040167400129111666,0.998646397334444,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,pr_auc,0.9996901231946975,0.9997959183673469,0.0003898797869238247,0.998700005724765,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,brier_score,0.012812741214878355,0.012479427465590186,0.003812642365816307,0.006550607893929109,0.02108051706252426,1000,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,f1_macro,0.9897110602524665,0.9897948557742373,0.007549129256221913,0.9744731838191243,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,balanced_accuracy,0.9897142857142857,0.9897959183673469,0.007543311581322895,0.9744897959183674,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,log_loss,0.06304113638153355,0.06215115601935914,0.011029576113179692,0.04497949150645003,0.08807804958696051,1000,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,roc_auc,0.9996864847980009,0.9997917534360683,0.0004142314909706778,0.9985422740524782,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,pr_auc,0.9996984576819591,0.999795918367347,0.00039448963319475887,0.998639455782313,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,brier_score,0.010071663161714596,0.009594623678991544,0.004242266890680498,0.0035768333380833137,0.019740583312501243,1000,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,f1_macro,0.9898541829712715,0.9897948557742373,0.007263298894955,0.9744731838191243,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,balanced_accuracy,0.9898571428571429,0.9897959183673469,0.0072583230741979825,0.9744897959183674,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,log_loss,0.03223219855985468,0.03158786461266154,0.008821429862448738,0.017478424217749974,0.050843042083426784,1000,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,roc_auc,0.9997840483132028,0.9998958767180341,0.00031392113780903214,0.9989587671803416,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,pr_auc,0.9997904762861352,0.999896928468357,0.00030167128152119545,0.9990093124628492,1.0,1000,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,brier_score,0.007644982950680273,0.007292935090702948,0.0033270420652690437,0.002138933177437642,0.015029139739229024,1000,raw_cel_rma
