"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set","database"
"R-HSA-72172","mRNA Splicing","56/1651","201/10634",0.278606965174129,1.79449210639715,4.87499029463157,4.84399394890262e-06,5.95573026504421e-05,4.67263609566275e-05,"SNRPD2/RBMX2/LSM7/PRPF4/SNRPB/SNRPF/LSM5/RNF113A/PRPF40A/LSM8/SNRPC/POLR2D/GTF2F2/POLR2I/USP39/CTNNBL1/PPIL1/SNRPG/FUS/HNRNPU/PRPF6/SF3B3/LSM2/SRSF10/RNPS1/PPIH/U2SURP/MAGOHB/HNRNPA1/SNRPA/HNRNPL/PPIL3/PRPF19/SNRPE/SNRPB2/NCBP2/PQBP1/XAB2/NKAP/HNRNPF/PRPF31/UPF3B/SF3A3/POLR2G/ALYREF/HNRNPD/PUF60/TCERG1/FAM50A/DHX9/POLR2K/SRRT/SNRPA1/SNRPD1/LSM6/CRNKL1",56,"tumor_vs_adjacent_up","Reactome"
"R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","31/1651","90/10634",0.344444444444444,2.21854768153981,4.97681878449668,6.98997383699858e-06,8.52435833780315e-05,6.68788254151854e-05,"TPX2/ATR/RFC3/CSNK2A2/CDK2/CDK5/AURKA/EXO1/CHEK1/TAF2/TOPBP1/RFC2/SSRP1/DNA2/TAF4/RFC5/BLM/NOC2L/TP53RK/AURKB/CCNA2/BRCA1/RHNO1/RPA3/RAD50/RAD1/NBN/SUPT16H/CDK5R1/BARD1/RMI2",31,"tumor_vs_adjacent_up","Reactome"
"R-HSA-6782315","tRNA modification in the nucleus and cytosol","19/1651","43/10634",0.441860465116279,2.84599890130013,5.19981539761067,7.20236809429086e-06,8.7125420495454e-05,6.83552421852053e-05,"PUS7/FTSJ1/TRMT1/PUS1/QTRT2/METTL1/EPRS1/TYW1/CTU2/TRMT112/TRMT6/TRMT5/TRMT11/THG1L/TRIT1/WDR4/TP53RK/NSUN2/ADAT2",19,"tumor_vs_adjacent_up","Reactome"
"R-HSA-69231","Cyclin D associated events in G1","20/1651","47/10634",0.425531914893617,2.74082760931479,5.12753911566208,8.35573251829536e-06,9.92791329728614e-05,7.78905759043221e-05,"CDK4/CCND1/E2F5/CDK2/E2F3/CDK7/E2F1/CKS1B/CCNE1/CUL1/MNAT1/E2F4/TFDP1/TFDP2/LYN/RB1/CCNE2/CDKN1B/CDK6/CCND2",20,"tumor_vs_adjacent_up","Reactome"
"R-HSA-69236","G1 Phase","20/1651","47/10634",0.425531914893617,2.74082760931479,5.12753911566208,8.35573251829536e-06,9.92791329728614e-05,7.78905759043221e-05,"CDK4/CCND1/E2F5/CDK2/E2F3/CDK7/E2F1/CKS1B/CCNE1/CUL1/MNAT1/E2F4/TFDP1/TFDP2/LYN/RB1/CCNE2/CDKN1B/CDK6/CCND2",20,"tumor_vs_adjacent_up","Reactome"
"R-HSA-195258","RHO GTPase Effectors","74/1651","293/10634",0.252559726962457,1.62672328075032,4.66357657818218,8.40563325836893e-06,9.92791329728614e-05,7.78905759043221e-05,"CKAP5/NUP107/DSN1/ERCC6L/NUP37/RCC2/RTKN/NUP85/SPDL1/CENPH/FMNL2/KDM1A/KIF18A/NDE1/MAD2L1/RANGAP1/DIAPH3/KIF14/CENPL/BUB1/CENPA/BIRC5/SPC25/NUF2/PPP2R5C/KIF2C/XPO1/CENPN/CDC25C/BUB3/ZW10/CENPO/CENPF/ABI2/RANBP2/SGO2/NUP133/IQGAP3/CENPQ/NUP160/BUB1B/CENPE/CDCA8/MAPRE1/PLK1/NUDC/AURKB/MEN1/H2AZ2/ZWILCH/KNTC1/H2AX/DIAPH2/KNL1/MAD1L1/CDC20/ITGB3BP/TUBA4A/SEH1L/ZWINT/NDC80/TUBB3/KIF5B/CENPK/CTNNB1/SKA1/PTK2/CDKN1B/S100A9/YWHAG/CENPU/NOXO1/NOX1/S100A8",74,"tumor_vs_adjacent_up","Reactome"
"R-HSA-8953750","Transcriptional Regulation by E2F6","16/1651","33/10634",0.484848484848485,3.12288236697686,5.23600709237487,8.84415692549311e-06,0.000103642463970622,8.13138769958988e-05,"CBX3/E2F6/CHEK1/E2F1/EHMT2/RBBP7/RRM2/EZH2/YAF2/TFDP1/TFDP2/BRCA1/UXT/PCGF6/SUZ12/RAD51",16,"tumor_vs_adjacent_up","Reactome"
"R-HSA-176409","APC/C:Cdc20 mediated degradation of mitotic proteins","23/1651","59/10634",0.389830508474576,2.51087681836381,4.98890942553479,1.0532807882317e-05,0.0001224745102595,9.60887736632431e-05,"UBE2S/UBE2C/PSMA7/PSMD14/PSMA2/ADRM1/NEK2/CDK1/PSMB4/MAD2L1/CCNB1/PSMB2/BUB3/PSMD12/ANAPC11/CDC16/BUB1B/PSMB5/ANAPC10/CCNA2/CDC23/CDC20/PSMA3",23,"tumor_vs_adjacent_up","Reactome"
"R-HSA-1442490","Collagen degradation","24/1651","63/10634",0.380952380952381,2.45369328833896,4.96107471149833,1.08263467916633e-05,0.000124919386057653,9.80069288508467e-05,"MMP7/MMP11/COL11A1/MMP3/COL1A1/MMP1/COL7A1/MMP14/COL12A1/COL5A1/COL5A2/MMP12/COL10A1/COL4A1/MMP10/COL9A3/MMP9/COL18A1/ADAM9/COL1A2/COL3A1/COL4A2/COL6A3/COL15A1",24,"tumor_vs_adjacent_up","Reactome"
"R-HSA-5693554","Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)","14/1651","27/10634",0.518518518518518,3.33974919801691,5.21849952737717,1.21292219181362e-05,0.000138884220436674,0.000108963198911019,"PALB2/BRCA2/EXO1/RAD51AP1/DNA2/BLM/BRCA1/RAD50/NBN/RAD51C/RTEL1/BARD1/RAD51/RMI2",14,"tumor_vs_adjacent_up","Reactome"
