gene_symbol,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance,analysis_provenance
ABCC13,4.0682117633694155,3.714961614421247,2.6141064005607557,-0.35325014894816853,-1.1008552138604912,monotonic_down,0.15,raw_cel_rma
ABCC2,2.5983194628933672,2.619459017769291,3.4344882024705314,0.021139554875923672,0.8150291847012405,tumor_specific,0.15,raw_cel_rma
ABCC3,6.897437489838796,6.820178582649804,6.025458298980737,-0.07725890718899198,-0.7947202836690677,tumor_specific,0.15,raw_cel_rma
ABCC4,2.9529439576493046,3.1454353684664866,3.6204850331392096,0.19249141081718202,0.4750496646727229,monotonic_up,0.15,raw_cel_rma
ABCC5,4.165370156615749,4.3294779177886715,4.121614015022763,0.16410776117292247,-0.20786390276590883,non_monotonic,0.15,raw_cel_rma
ABCC6,3.5023784157307545,3.398825664546433,3.1093965906058814,-0.1035527511843215,-0.2894290739405516,non_monotonic,0.15,raw_cel_rma
ABCC6P1,3.8224983749521484,3.566635921841241,3.369055645768966,-0.2558624531109075,-0.19758027607227469,monotonic_down,0.15,raw_cel_rma
ABCC8,2.846713870355453,2.771194384220329,2.8305242355063487,-0.07551948613512405,0.05932985128601986,non_monotonic,0.15,raw_cel_rma
ABCC9,2.4117494359460365,2.520209056435128,2.4979052875992234,0.10845962048909152,-0.02230376883590468,non_monotonic,0.15,raw_cel_rma
ABCD1,3.784810117771657,3.788113533356772,3.9347689888370443,0.0033034155851150437,0.14665545548027215,non_monotonic,0.15,raw_cel_rma
ABCD2,2.0315656698879616,2.054275067348473,1.9814226787335267,0.022709397460511482,-0.07285238861494636,non_monotonic,0.15,raw_cel_rma
ABCD3,6.727324152367122,6.02773556610122,5.089903980552434,-0.6995885862659019,-0.9378315855487855,monotonic_down,0.15,raw_cel_rma
ABCD4,4.007509909033277,3.781523813117913,3.4836023315427473,-0.2259860959153639,-0.2979214815751656,monotonic_down,0.15,raw_cel_rma
ABCE1,4.5586271879027,4.4677969396965365,5.574337103416625,-0.09083024820616359,1.106540163720089,tumor_specific,0.15,raw_cel_rma
ABCF1,6.9662612362512855,7.210849278632941,7.4183542061327445,0.24458804238165577,0.20750492749980332,monotonic_up,0.15,raw_cel_rma
ABCF2,4.85787444192803,4.9586426349314925,5.395719497081878,0.10076819300346251,0.4370768621503851,non_monotonic,0.15,raw_cel_rma
ABCF3,4.417498010482229,4.422639738282255,4.590771858309935,0.00514172780002653,0.1681321200276802,non_monotonic,0.15,raw_cel_rma
ABCG1,7.61624189082842,7.222486881723629,6.646963737665036,-0.3937550091047912,-0.5755231440585931,monotonic_down,0.15,raw_cel_rma
ABCG2,7.85957720250034,6.974439359207182,3.073648944092315,-0.8851378432931583,-3.9007904151148667,monotonic_down,0.15,raw_cel_rma
ABCG4,2.2133615928930506,2.151225763120931,2.1182233460761646,-0.06213582977211951,-0.033002417044766474,non_monotonic,0.15,raw_cel_rma
ABCG5,2.7395213525370714,2.6468352642875956,2.9667900270770384,-0.09268608824947577,0.3199547627894428,non_monotonic,0.15,raw_cel_rma
ABCG8,2.374980339995153,2.273187248325867,2.246154206336419,-0.10179309166928574,-0.027033041989448225,non_monotonic,0.15,raw_cel_rma
ABHD1,2.1828435608320422,2.2095862124582966,2.3286593378044116,0.026742651626254332,0.11907312534611503,non_monotonic,0.15,raw_cel_rma
ABHD10,5.950750624079626,5.531396875823626,5.915830521820854,-0.41935374825600036,0.38443364599722774,non_monotonic,0.15,raw_cel_rma
ABHD11,4.7933310875774335,4.538858576869443,5.115240539479471,-0.2544725107079904,0.5763819626100277,non_monotonic,0.15,raw_cel_rma
ABHD12,6.035963215453214,5.798527624071615,6.177177539193032,-0.2374355913815993,0.3786499151214171,non_monotonic,0.15,raw_cel_rma
ABHD13,6.151352561264971,6.017479771703256,6.385589346006483,-0.1338727895617149,0.36810957430322766,non_monotonic,0.15,raw_cel_rma
ABHD14A-ACY1,2.620505458848902,2.4689062094624816,2.4377813347837183,-0.15159924938642044,-0.031124874678763348,non_monotonic,0.15,raw_cel_rma
ABHD14B,6.141368642487552,5.903175230508378,5.833272606293102,-0.2381934119791742,-0.06990262421527582,non_monotonic,0.15,raw_cel_rma
ABHD15,5.81778200330701,5.451452663497261,5.064590923301451,-0.3663293398097487,-0.3868617401958101,monotonic_down,0.15,raw_cel_rma
ABHD16A,6.610470617211284,6.433968354707741,6.665039354738436,-0.1765022625035435,0.23107100003069547,non_monotonic,0.15,raw_cel_rma
ABHD16B,3.0981575796563225,2.9381605553547328,2.8606603766584726,-0.1599970243015898,-0.07750017869626014,non_monotonic,0.15,raw_cel_rma
ABHD17A,9.238771350831346,9.190658431714903,9.0903235956397,-0.04811291911644311,-0.1003348360752021,non_monotonic,0.15,raw_cel_rma
ABHD17B,4.083169887197563,3.975502787000495,3.8781211657717867,-0.10766710019706816,-0.09738162122870841,non_monotonic,0.15,raw_cel_rma
ABHD17C,9.200421193589378,8.655374411042763,7.845049709418946,-0.5450467825466152,-0.8103247016238164,monotonic_down,0.15,raw_cel_rma
ABHD18,3.6446926581243475,3.4325326356625054,3.2728322611606946,-0.21216002246184207,-0.15970037450181085,monotonic_down,0.15,raw_cel_rma
ABHD2,5.368024180179195,5.357900081162841,5.913155629595378,-0.01012409901635447,0.5552555484325374,tumor_specific,0.15,raw_cel_rma
ABHD3,9.567869948199869,8.986695958278666,6.866280559643716,-0.5811739899212025,-2.1204153986349503,monotonic_down,0.15,raw_cel_rma
ABHD4,2.632157483815884,2.4652933788911633,2.4424935426052548,-0.1668641049247208,-0.022799836285908537,non_monotonic,0.15,raw_cel_rma
ABHD5,5.490273590921214,4.716188614513649,3.6831543895128718,-0.7740849764075657,-1.033034225000777,monotonic_down,0.15,raw_cel_rma
ABHD6,3.6021629561439568,3.450211561159404,2.970073367438723,-0.15195139498455257,-0.480138193720681,monotonic_down,0.15,raw_cel_rma
ABHD8,3.2460574722714055,3.0902647865359296,2.9630623796807267,-0.1557926857354759,-0.1272024068552029,non_monotonic,0.15,raw_cel_rma
ABI1,7.6366669950769825,7.320196509945991,7.153717173063546,-0.3164704851309912,-0.16647933688244532,monotonic_down,0.15,raw_cel_rma
ABI2,3.129337879081574,3.2093706252876113,3.943905089562132,0.08003274620603751,0.7345344642745206,tumor_specific,0.15,raw_cel_rma
ABI3,4.691721350481317,4.6579005848919275,4.242282337963799,-0.03382076558938962,-0.4156182469281289,non_monotonic,0.15,raw_cel_rma
ABI3BP,5.146196451218669,6.687755343871471,3.8965309618356594,1.5415588926528017,-2.7912243820358116,adjacent_specific,0.15,raw_cel_rma
ABITRAM,7.288690961346711,6.883427756516999,7.214368866493248,-0.405263204829712,0.3309411099762496,non_monotonic,0.15,raw_cel_rma
ABL1,5.573723797848459,5.462317264493872,5.43075885382704,-0.11140653335458683,-0.03155841066683163,non_monotonic,0.15,raw_cel_rma
ABL2,3.6957108402358183,3.975657456970409,4.3168809950950395,0.27994661673459076,0.34122353812463047,monotonic_up,0.15,raw_cel_rma
