"accession","geo_accession","sample_median","sample_iqr","median_robust_z","iqr_robust_z","missing_values","non_finite_values","independent_failure_metrics","technical_outlier_candidate","automatic_exclusion"
"GSE44076","GSM1077646",3.57986065775273,3.39177881105541,-1.37564525864392,0.325914704146139,0,0,0,FALSE,FALSE
"GSE44076","GSM1077647",3.5830059832251,3.19790225075406,-1.31792392183625,-1.63877796553915,0,0,0,FALSE,FALSE
"GSE44076","GSM1077648",3.67840427468766,3.30320624377952,0.432774681775931,-0.571655757139535,0,0,0,FALSE,FALSE
"GSE44076","GSM1077649",3.6442431302608,3.4077152865332,-0.194132434997314,0.487410640030113,0,0,0,FALSE,FALSE
"GSE44076","GSM1077650",3.72773026990439,3.33175002038895,1.33797905833027,-0.282400838533013,0,0,0,FALSE,FALSE
"GSE44076","GSM1077651",3.65624559861071,3.35937895714188,0.0261304675970558,-0.00241665980960152,0,0,0,FALSE,FALSE
"GSE44076","GSM1077652",3.59816842886293,3.18657857512436,-1.03967080012365,-1.75352903430676,0,0,0,FALSE,FALSE
"GSE44076","GSM1077653",3.72036343290801,3.45764557910942,1.20278679183509,0.993390732039472,0,0,0,FALSE,FALSE
"GSE44076","GSM1077654",3.66867612630158,3.32267780281032,0.254248887087874,-0.37433623983584,0,0,0,FALSE,FALSE
"GSE44076","GSM1077655",3.67596664446714,3.15093961395718,0.388040591073137,-2.11468463584787,0,0,0,FALSE,FALSE
"GSE44076","GSM1077656",3.63790391202662,3.43439331277529,-0.310466389625086,0.757758548606707,0,0,0,FALSE,FALSE
"GSE44076","GSM1077657",3.65501723300759,3.22765256085171,0.00358815669034952,-1.33729636261169,0,0,0,FALSE,FALSE
"GSE44076","GSM1077658",3.64530679641413,3.37369470511869,-0.174612600618859,0.142655261558168,0,0,0,FALSE,FALSE
"GSE44076","GSM1077659",3.71309461939021,3.09117099187392,1.06939339997834,-2.72036370041173,0,0,0,FALSE,FALSE
"GSE44076","GSM1077660",3.70244125758543,3.3296315731533,0.873888581710874,-0.303868610338544,0,0,0,FALSE,FALSE
"GSE44076","GSM1077661",3.60698661134545,3.3948738696129,-0.877844214742911,0.35727919117172,0,0,0,FALSE,FALSE
"GSE44076","GSM1077662",3.66658078480847,3.25386904923956,0.215796296692016,-1.07162555392582,0,0,0,FALSE,FALSE
"GSE44076","GSM1077663",3.64604124744244,3.30758587889402,-0.161134346763549,-0.527273718423877,0,0,0,FALSE,FALSE
"GSE44076","GSM1077664",3.65783460220935,3.35875579099749,0.0552910148000229,-0.00873165711500537,0,0,0,FALSE,FALSE
"GSE44076","GSM1077665",3.7108341546287,3.33872048742728,1.027910555361,-0.21176400923707,0,0,0,FALSE,FALSE
"GSE44076","GSM1077666",3.65008257166133,3.43589295945902,-0.0869701184710051,0.772955562841214,0,0,0,FALSE,FALSE
"GSE44076","GSM1077667",3.64561663340329,3.36157772599659,-0.168926637317365,0.0198650695777243,0,0,0,FALSE,FALSE
"GSE44076","GSM1077668",3.68245973927295,3.36807158719506,0.5071984065368,0.0856721040885383,0,0,0,FALSE,FALSE
"GSE44076","GSM1077669",3.73039385319363,3.41543052231743,1.3868597193315,0.5655947545337,0,0,0,FALSE,FALSE
"GSE44076","GSM1077670",3.7192592362078,3.40795940331957,1.18252316246047,0.48988445357404,0,0,0,FALSE,FALSE
"GSE44076","GSM1077671",3.62992609244102,3.29215546000882,-0.456871082982431,-0.683641413553146,0,0,0,FALSE,FALSE
"GSE44076","GSM1077672",3.6722350749002,3.37678002262405,0.319560815073238,0.173921035393924,0,0,0,FALSE,FALSE
"GSE44076","GSM1077673",3.67130449560258,3.45445220101147,0.302483319743849,0.961029901360287,0,0,0,FALSE,FALSE
"GSE44076","GSM1077674",3.69378786376088,3.29127723717497,0.715086109959249,-0.692541086424033,0,0,0,FALSE,FALSE
"GSE44076","GSM1077675",3.66849918078821,3.32010701535413,0.251001677327439,-0.400387905197729,0,0,0,FALSE,FALSE
"GSE44076","GSM1077676",3.62880234136617,3.29752115140113,-0.47749356381919,-0.629266946986034,0,0,0,FALSE,FALSE
"GSE44076","GSM1077677",3.61285782782313,3.34932826399889,-0.770098778934798,-0.104267668062511,0,0,0,FALSE,FALSE
"GSE44076","GSM1077678",3.70349087307419,3.38929914790359,0.893150565781476,0.300786467859534,0,0,0,FALSE,FALSE
"GSE44076","GSM1077679",3.68331826856215,3.31060705706837,0.522953678510049,-0.496657915235753,0,0,0,FALSE,FALSE
"GSE44076","GSM1077680",3.68334897653724,3.38075763191681,0.523517214903497,0.21422905307385,0,0,0,FALSE,FALSE
