geo_accession,sample_median,robust_z,outlier_candidate,automatic_exclusion
GSM1077721,3.6711,0.11346947624002945,False,False
GSM1077722,3.72895,1.1962256330211654,False,False
GSM1077723,3.72925,1.2018406174124194,False,False
GSM1077724,3.693325,0.5294462365591451,False,False
GSM1077725,3.7144000000000004,0.9238988900451011,False,False
GSM1077726,3.746575,1.5261059660076342,False,False
GSM1077727,3.68465,0.36707960457856514,False,False
GSM1077728,3.61775,-0.8850619146722165,False,False
GSM1077729,3.6748250000000002,0.18318886576483387,False,False
GSM1077730,3.6473250000000004,-0.3315180367672489,False,False
GSM1077731,3.7188,1.0062519944502257,False,False
GSM1077732,3.681,0.29876396115158055,False,False
GSM1077733,3.656325,-0.16306850502948572,False,False
GSM1077734,3.6260250000000003,-0.7301819285466478,False,False
GSM1077735,3.66555,0.0095922650017369,False,False
GSM1077736,3.459425,-3.848369927159214,False,False
GSM1077737,3.76675,1.9037136663198104,False,False
GSM1077738,3.700375,0.6613983697537342,False,False
GSM1077739,3.6729000000000003,0.14715938258758873,False,False
GSM1077740,3.634375,-0.573898196323276,False,False
GSM1077741,3.5672249999999996,-1.830718869233446,False,False
GSM1077742,3.7182,0.9950220256677088,False,False
GSM1077743,3.67065,0.10504699965314378,False,False
GSM1077744,3.637325,-0.518684183142557,False,False
GSM1077745,3.7375249999999998,1.3567206035379797,False,False
GSM1077746,3.749825,1.5869349635796073,False,False
GSM1077747,3.5927,-1.353913111342357,False,False
GSM1077748,3.64785,-0.3216918140825517,False,False
GSM1077749,3.62585,-0.7334573361082246,False,False
GSM1077750,3.6065,-1.095623829344433,False,False
GSM1077751,3.7096999999999998,0.8359308012486973,False,False
GSM1077752,3.583775,-1.5209588969823085,False,False
GSM1077753,3.6229,-0.7886713492889351,False,False
GSM1077754,3.680975,0.2982960457856434,False,False
GSM1077755,3.7009749999999997,0.672628338536243,False,False
GSM1077756,3.6115500000000003,-1.0011049254249003,False,False
GSM1077757,3.5840750000000003,-1.5153439125910457,False,False
GSM1077758,3.6879,0.42790860215053844,False,False
GSM1077759,3.67815,0.24542160943461863,False,False
GSM1077760,3.6384749999999997,-0.4971600763094057,False,False
GSM1077761,3.6013,-1.1929502254595883,False,False
GSM1077762,3.7685500000000003,1.9374035726673695,False,False
