gene_symbol,reference_model,adjusted_model,unadjusted_log2fc,adjusted_log2fc,effect_difference,unadjusted_fdr,adjusted_fdr,effect_direction_agreement,reference_significant,adjusted_significant,significance_retained,lost_significance,gained_significance,changed_direction
PPP1CC,U0_unadjusted,U1_age_sex_adjusted,-0.550740070883808,-0.576660200465805,-0.025920129581996965,3.23558935247769e-28,4.46276167467292e-27,True,True,True,True,False,False,False
CCDC3,U0_unadjusted,U1_age_sex_adjusted,1.47400028685605,1.41889808996784,-0.05510219688820994,3.5420709393533897e-28,4.11958256995256e-24,True,True,True,True,False,False,False
NDUFB3,U0_unadjusted,U1_age_sex_adjusted,-0.703697160999655,-0.665112913679614,0.038584247320040954,3.91784202890184e-28,7.72319558530116e-24,True,True,True,True,False,False,False
SEMA3G,U0_unadjusted,U1_age_sex_adjusted,0.874794876609174,0.831711050617991,-0.04308382599118299,4.40930011074793e-28,6.90361789647389e-24,True,True,True,True,False,False,False
COL14A1,U0_unadjusted,U1_age_sex_adjusted,0.967366238551713,0.947155890070549,-0.020210348481163987,4.40930011074793e-28,1.7123938926996502e-24,True,True,True,True,False,False,False
SOX18,U0_unadjusted,U1_age_sex_adjusted,1.39581579919415,1.31079161562677,-0.08502418356737995,4.40930011074793e-28,7.37894233202856e-24,True,True,True,True,False,False,False
LYSET,U0_unadjusted,U1_age_sex_adjusted,-0.61859520158581,-0.607113554979229,0.01148164660658102,6.82716420279514e-28,2.85033377058712e-24,True,True,True,True,False,False,False
SNX7,U0_unadjusted,U1_age_sex_adjusted,-0.571651818560918,-0.573928879608732,-0.0022770610478139997,9.076946254112849e-28,7.58861429457834e-25,True,True,True,True,False,False,False
RGS1,U0_unadjusted,U1_age_sex_adjusted,1.18816857258296,1.16729575633288,-0.020872816250079973,9.90556866629782e-28,3.91481997254065e-24,True,True,True,True,False,False,False
SASH1,U0_unadjusted,U1_age_sex_adjusted,1.16645594542129,1.16720345230372,0.0007475068824300823,1.04069529409866e-27,1.13341924166155e-24,True,True,True,True,False,False,False
DUSP1,U0_unadjusted,U1_age_sex_adjusted,1.55430900797031,1.44715360557036,-0.10715540239994992,1.26858853542545e-27,5.61587191933029e-23,True,True,True,True,False,False,False
ZNHIT3,U0_unadjusted,U1_age_sex_adjusted,-0.60940391113673,-0.608956521333446,0.0004473898032839596,1.28559818536937e-27,1.47818226218924e-24,True,True,True,True,False,False,False
ATF1,U0_unadjusted,U1_age_sex_adjusted,-0.597604413292717,-0.577961479598343,0.019642933694373976,1.49205561682797e-27,1.15495793021796e-23,True,True,True,True,False,False,False
PMP22,U0_unadjusted,U1_age_sex_adjusted,1.71533756160731,1.68435095814501,-0.03098660346230009,1.73812281070674e-27,5.09098871719218e-24,True,True,True,True,False,False,False
NUDT16L1,U0_unadjusted,U1_age_sex_adjusted,-0.604110588133069,-0.596847116363731,0.007263471769337948,2.31154286746851e-27,4.57567138211564e-24,True,True,True,True,False,False,False
TMTC1,U0_unadjusted,U1_age_sex_adjusted,1.78045240999,1.75970929160446,-0.020743118385539994,2.47209892251601e-27,5.09098871719218e-24,True,True,True,True,False,False,False
TMEM100,U0_unadjusted,U1_age_sex_adjusted,1.72980980856974,1.67463747741157,-0.055172331158169996,2.76688010933895e-27,5.52653036246207e-24,True,True,True,True,False,False,False
CCDC80,U0_unadjusted,U1_age_sex_adjusted,2.40108385416312,2.36616928072144,-0.03491457344168003,3.48256458845197e-27,6.90361789647389e-24,True,True,True,True,False,False,False
ITPRIPL2,U0_unadjusted,U1_age_sex_adjusted,0.533441206829928,0.529111545370467,-0.0043296614594610094,4.41049560955577e-27,3.44129783817459e-24,True,True,True,True,False,False,False
TSHZ2,U0_unadjusted,U1_age_sex_adjusted,0.7240812219013,0.700002965337047,-0.024078256564252998,4.60979433021718e-27,3.51970879617904e-23,True,True,True,True,False,False,False
UCHL1,U0_unadjusted,U1_age_sex_adjusted,2.05092864618413,1.95577231853945,-0.09515632764468007,5.77401555598961e-27,9.17446901848173e-23,True,True,True,True,False,False,False
EFEMP1,U0_unadjusted,U1_age_sex_adjusted,2.30608017855748,2.24479105328752,-0.06128912526996011,6.10935225228219e-27,2.49673691843474e-23,True,True,True,True,False,False,False
CNIH1,U0_unadjusted,U1_age_sex_adjusted,-0.511527787645191,-0.506198592188976,0.005329195456215019,6.61997686267368e-27,1.3440299591376302e-23,True,True,True,True,False,False,False
TIMM8B,U0_unadjusted,U1_age_sex_adjusted,-0.498129912234218,-0.481563563528381,0.01656634870583701,7.12391242063135e-27,5.97525128438858e-23,True,False,False,False,False,False,False
GOLPH3L,U0_unadjusted,U1_age_sex_adjusted,-0.649307430498356,-0.634117647169301,0.015189783329055073,9.36232879383494e-27,3.07923079204677e-23,True,True,True,True,False,False,False
APOD,U0_unadjusted,U1_age_sex_adjusted,2.01129302866985,1.94447495619199,-0.06681807247785976,9.72827558456523e-27,4.9902006623316204e-23,True,True,True,True,False,False,False
HINT1,U0_unadjusted,U1_age_sex_adjusted,-0.359261726168528,-0.343561496614882,0.015700229553645972,1.41346489454714e-26,1.62552201418043e-22,True,False,False,False,False,False,False
