"gene_symbol","entrez_id","comparison","log2_fold_change","standard_error","moderated_statistic","p_value","adjusted_p_value","average_expression","confidence_interval_lower","confidence_interval_upper","direction","mapping_status","analysis_provenance"
"DCAF7",10238,"tumor_vs_adjacent_paired",0.223021695437827,0.047765478274633,4.69417889934967,8.57945955870834e-06,1.88133547486382e-05,7.5142844825562,0.128755444114713,0.317287946760941,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"KCNJ5-AS1",219833,"tumor_vs_adjacent_paired",0.194637043149134,0.0416045984269419,4.69339095037421,8.60654717149753e-06,1.88705154987536e-05,3.06830711413253,0.112354533858517,0.276919552439751,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"GPBAR1",151306,"tumor_vs_adjacent_paired",-0.257445190240056,0.0552557506642318,-4.69214034789611,8.64971000001889e-06,1.89629046597521e-05,3.7239307884944,-0.366308754499862,-0.148581625980249,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"ZFAND4",93550,"tumor_vs_adjacent_paired",-0.16210840699501,0.0345294669450529,-4.69135997304383,8.67674987844186e-06,1.90199294905027e-05,3.56518135253263,-0.230669153989507,-0.0935476600005137,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"AKAP8",10270,"tumor_vs_adjacent_paired",0.167139933594792,0.0356306067229415,4.69110629237982,8.68555752335713e-06,1.90369794460495e-05,5.2118874342054,0.0964473730247368,0.237832494164847,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"RNF213",57674,"tumor_vs_adjacent_paired",0.368695181134068,0.0793590992564417,4.69096267772172,8.69054758443054e-06,1.9045658982591e-05,4.91670138937021,0.212749179374858,0.524641182893278,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"KCTD16",57528,"tumor_vs_adjacent_paired",0.118157875868461,0.0248809473128257,4.69074323649273,8.69817770056393e-06,1.9060121555277e-05,2.27699275280648,0.0681786212611385,0.168137130475783,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"ATF3",467,"tumor_vs_adjacent_paired",-0.527975364685953,0.113822122015491,-4.6894895436991,8.74189418948615e-06,1.91536465888848e-05,3.70954102439944,-0.751361825628626,-0.30458890374328,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"ATF1",466,"tumor_vs_adjacent_paired",0.195775380505649,0.0418939037380106,4.68880759582893,8.7657632450956e-06,1.9203668531021e-05,5.97256757996856,0.112930738504275,0.278620022507023,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"SFMBT2",57713,"tumor_vs_adjacent_paired",-0.121940069871632,0.0257412665199226,-4.68645228788899,8.84868923155316e-06,1.9383042754581e-05,2.78515404440598,-0.17356636982916,-0.0703137699141034,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"FYCO1",79443,"tumor_vs_adjacent_paired",-0.146973287798889,0.0312516149045691,-4.68637872337692,8.85129151581246e-06,1.93864463548179e-05,3.34977204532721,-0.209198987337094,-0.0847475882606852,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"SLC35E3",55508,"tumor_vs_adjacent_paired",0.209383644846398,0.0448924237174551,4.68502740760307,8.89922545901258e-06,1.94891245691274e-05,5.71486257936879,0.120709015791397,0.2980582739014,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"UNC50",25972,"tumor_vs_adjacent_paired",0.178375033475343,0.0381373493779166,4.68447558583813,8.91887202300945e-06,1.95298370091716e-05,7.76427741054247,0.1028237496661,0.253926317284585,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"GOLGA6D",653643,"tumor_vs_adjacent_paired",-0.10224652777834,0.0213804900593029,-4.68423461089266,8.92746466747835e-06,1.95463376792984e-05,1.9895634993872,-0.145555581093368,-0.058937474463312,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"PARD6B",84612,"tumor_vs_adjacent_paired",0.478576568223501,0.103277724265802,4.6835172889884,8.95309036173863e-06,1.96001232285753e-05,6.3088333678816,0.275832543216233,0.681320593230769,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"HERC1",8925,"tumor_vs_adjacent_paired",-0.214922510775965,0.0461208342500856,-4.68274141809352,8.98088797800254e-06,1.96586502560988e-05,3.33251807084101,-0.305987300602296,-0.123857720949634,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"MFSD4B",91749,"tumor_vs_adjacent_paired",-0.202561463811823,0.0434291756656408,-4.68265710319662,8.98391381857492e-06,1.96629458458156e-05,3.92400234503946,-0.288390301381596,-0.116732626242051,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"SLC48A1",55652,"tumor_vs_adjacent_paired",0.143544370562929,0.0305351445324534,4.68102155071471,9.04280549812416e-06,1.97894985986881e-05,3.27898341671128,0.0827008570108447,0.204387884115013,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"PLAC1",10761,"tumor_vs_adjacent_paired",0.304481907927198,0.0656183350415299,4.67989301097169,9.0836591786266e-06,1.98765512677877e-05,3.36490967608575,0.1753913943953,0.433572421459096,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"IGF1R",3480,"tumor_vs_adjacent_paired",0.330443394825479,0.0712772706557302,4.67824001987807,9.14382151515806e-06,2.000582887413e-05,3.67357723672081,0.190296546305492,0.470590243345466,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"MOAP1",64112,"tumor_vs_adjacent_paired",-0.262656353837214,0.0565603390984209,-4.67777320196739,9.16088169668252e-06,2.00407835508353e-05,7.65740929631532,-0.37406464435454,-0.151248063319889,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"TMED2",10959,"tumor_vs_adjacent_paired",0.138990082661018,0.0295680168128278,4.67575707962182,9.23491748110363e-06,2.02003577695027e-05,10.8820483101024,0.0800106441303617,0.197969521191674,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"PEX39",441150,"tumor_vs_adjacent_paired",-0.257707429496231,0.0555136763896238,-4.6753150601246,9.25122664392234e-06,2.0233638590741e-05,4.72264438127695,-0.367074056310909,-0.148340802681553,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"IL2RA",3559,"tumor_vs_adjacent_paired",0.202043315748396,0.0433892067715461,4.67491178150379,9.26613075088952e-06,2.02638388626786e-05,2.901744383961,0.116292190432933,0.287794441063858,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"PSMB8",5696,"tumor_vs_adjacent_paired",0.327978576498387,0.0708113182891573,4.67371141165567,9.31063116229471e-06,2.03587476573828e-05,8.07811611318388,0.188742317891697,0.467214835105076,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"OR51G1",79324,"tumor_vs_adjacent_paired",-0.0977420107646215,0.0204295003997147,-4.67219814912773,9.36702659046136e-06,2.04796407304754e-05,2.19480636291338,-0.139249721058387,-0.0562343004708565,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"MSH3",4437,"tumor_vs_adjacent_paired",0.218956178808885,0.0471129483807728,4.67156491629595,9.39072373933391e-06,2.05290236391918e-05,5.24979570788122,0.125960326782504,0.311952030835267,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"BBS12",166379,"tumor_vs_adjacent_paired",-0.193157135691891,0.0414802413646512,-4.67142204228827,9.39607847259958e-06,2.05383013309335e-05,3.57077346137375,-0.275198034895835,-0.111116236487947,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"DRGX",644168,"tumor_vs_adjacent_paired",-0.0959361051359768,0.0200354345222742,-4.66966142238623,9.46230776107832e-06,2.06806229908201e-05,2.33179122892448,-0.136699040539898,-0.0551731697320555,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"ARHGAP10",79658,"tumor_vs_adjacent_paired",-0.368302677989721,0.0796479131183236,-4.66905965157382,9.485048216808e-06,2.07278739544711e-05,4.00280618108078,-0.524813443262609,-0.211791912716832,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"SPTLC1",10558,"tumor_vs_adjacent_paired",0.176186824797851,0.0378020234808754,4.66718536580492,9.55621610514522e-06,2.08786069876984e-05,6.80079072601206,0.101285906958505,0.251087742637198,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"RPL41",6171,"tumor_vs_adjacent_paired",0.163913508400866,0.0351093943204688,4.66718364127251,9.55628182460203e-06,2.08786069876984e-05,10.9421500437307,0.0942302231946543,0.233596793607077,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"GAB3",139716,"tumor_vs_adjacent_paired",-0.232017398510954,0.0500171813125395,-4.66642584698958,9.58520272253236e-06,2.09393192745302e-05,2.76936910348061,-0.330669182831871,-0.133365614190036,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"KLHL4",56062,"tumor_vs_adjacent_paired",-0.134661761048852,0.0286832343034945,-4.66488673487279,9.64420373483264e-06,2.10657208573013e-05,2.32740752772167,-0.191937664331829,-0.0773858577658758,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"TTC32",130502,"tumor_vs_adjacent_paired",0.302697870537102,0.0654598156355429,4.66365804672861,9.69155742822172e-06,2.11665652298354e-05,5.99701332014853,0.173916979004154,0.431478762070049,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"HSD3B7",80270,"tumor_vs_adjacent_paired",0.129413900458286,0.0275301407425832,4.66362947349333,9.69266131968722e-06,2.11665652298354e-05,3.12765400843383,0.0743552389682849,0.184472561948288,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"AP1G1",164,"tumor_vs_adjacent_paired",-0.157224423050617,0.0336728269823672,-4.66272845437537,9.72753367501195e-06,2.12402099257169e-05,3.75784110389218,-0.224127893534023,-0.0903209525672115,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"FAXC",84553,"tumor_vs_adjacent_paired",-0.428992635329346,0.0929688844814969,-4.66221514507221,9.74745476345934e-06,2.12811947781749e-05,2.93788893743747,-0.611561319923593,-0.246423950735099,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"ANKRD34C",390616,"tumor_vs_adjacent_paired",0.0751784368762828,0.0153429292838084,4.66203902666392,9.75429887521665e-06,2.12936229283065e-05,2.2189316203692,0.0431831397555844,0.107173733996981,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"ZC3H4",23211,"tumor_vs_adjacent_paired",0.160352294135394,0.0343672340333259,4.66188562876621,9.76026384463811e-06,2.13041292040324e-05,5.78537326517383,0.092105489251253,0.228599099019536,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
