task,model,metric,outer_fold_mean,outer_fold_sd,repeat_mean_sd,aggregated_oof_metric,aggregated_oof_bootstrap_ci_lower,aggregated_oof_bootstrap_ci_upper,mean,median,standard_deviation,fold_minimum,fold_maximum,repeat_mean_standard_deviation,analysis_provenance
task_b_field_effect,elastic_net,roc_auc,1.0,0.0,0.0,0.9997959183673468,0.9987752009894868,1.0,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,elastic_net,pr_auc,1.0,0.0,0.0,0.999607843137255,0.9976452119309264,1.0000000000000002,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,elastic_net,brier_score,0.0200327593513009,0.0077336690958061,0.0030216807214801,0.0188278707854348,0.0138300070558731,0.0262759465818223,0.0200327593513009,0.0211425049222053,0.0077336690958061,0.0039640227231923,0.0312492950265356,0.0030216807214801,raw_cel_rma
task_b_field_effect,linear_svm,f1_macro,0.9975579975579976,0.0094578347892733,0.0042296723017554,1.0,1.0,1.0,0.9975579975579976,1.0,0.0094578347892733,0.9633699633699632,1.0,0.0042296723017554,raw_cel_rma
task_b_field_effect,linear_svm,balanced_accuracy,0.9983333333333332,0.006454972243679,0.0028867513459481,1.0,1.0,1.0,0.9983333333333332,1.0,0.006454972243679,0.975,1.0,0.0028867513459481,raw_cel_rma
task_b_field_effect,linear_svm,log_loss,0.0650444943538501,0.0101915808044897,0.0006523351565774,0.0649757523790836,0.054266324836092,0.076910131501941,0.0650444943538501,0.0663089317249811,0.0101915808044897,0.0451686084930283,0.0830455158561263,0.0006523351565774,raw_cel_rma
task_b_field_effect,linear_svm,roc_auc,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,linear_svm,pr_auc,1.0,0.0,0.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,linear_svm,brier_score,0.0073946067549024,0.0034249529731573,0.0004421201005322,0.0072252593908745,0.0043543393244974,0.0111640520621386,0.0073946067549024,0.0070728601826054,0.0034249529731573,0.0027433145797392,0.0152125674922943,0.0004421201005322,raw_cel_rma
task_b_field_effect,random_forest,f1_macro,0.9926277926277928,0.0152626684124792,8.002082733056289e-05,0.9924854023863924,0.9758917380189536,1.0,0.9926277926277928,1.0,0.0152626684124792,0.9626769626769628,1.0,8.002082733056289e-05,raw_cel_rma
task_b_field_effect,random_forest,balanced_accuracy,0.9949122807017544,0.0105364925743042,0.0001519342813656,0.9948979591836736,0.9838665848527348,1.0,0.9949122807017544,1.0,0.0105364925743042,0.9736842105263156,1.0,0.0001519342813656,raw_cel_rma
task_b_field_effect,random_forest,log_loss,0.0440317833482488,0.0142147503863627,0.0023404116513294,0.0438386075316132,0.0278995146319368,0.0623347304925442,0.0440317833482488,0.043280426503604,0.0142147503863627,0.0128107891112597,0.0688781356354702,0.0023404116513294,raw_cel_rma
task_b_field_effect,random_forest,roc_auc,1.0,0.0,0.0,0.9997959183673468,0.9988174696535734,1.0,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
