gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
SUZ12,,0.5830813061224474,0.0667348289881806,8.737286286081835,5.6060093082175655e-15,2.3464149753454047e-14,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SV2A,,-0.1560640816326532,0.0310094881341371,-5.032784835324277,2.0103136857688696e-06,4.4051527882425225e-06,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SV2B,,-0.0762993469387769,0.0277511044610202,-2.7494165879397143,0.0067467948746204,0.0099565163860466,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SV2C,,-0.0282191020408171,0.0292187079444539,-0.965788839618195,0.3368171424788272,0.3809324854646196,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SVEP1,,-0.0490163673469394,0.0230643271184385,-2.125202573447456,0.0357220962216782,0.0476094576550996,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SVIL,,-0.0759025102040826,0.0656778855773627,-1.1556783464759413,0.249713950062252,0.290212635609185,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SVIP,,0.0686475918367399,0.0553451556704692,1.2403541196175278,0.2168670667115147,0.25468136373202,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SVOP,,-0.0553878775510217,0.0312845523031242,-1.7704545366145583,0.0798438825865172,0.1010789577425059,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SVOPL,,-1.4997495918367365,0.1340266415368046,-11.189936378618384,1.083277256150176e-16,5.062739066543778e-16,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SWAP70,,0.31587175510204,0.0716214962987257,4.4102925996487405,2.092355815509072e-05,4.161978136992555e-05,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYAP1,,-0.0762024897959161,0.0745017370617534,-1.022828363488397,0.3080932141029956,0.3514525670433788,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYBU,,0.4447736530612252,0.0639505815967765,6.9549586877196425,1.2010950627085434e-10,3.7379617512210955e-10,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYCE1,,-0.0601620204081623,0.017701635717703,-3.398670121089182,0.0009650852498578,0.0015896896926458,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYCE1L,,-0.05473163265306,0.0352516332522817,-1.5525984927100482,0.1233928333667495,0.1512813617065621,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYCE2,,0.0424016734693868,0.031756514815442,1.335211805067741,0.1839833554646368,0.2186395636029637,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYCN,,-0.0728534285714284,0.0302574366304173,-2.407785876289005,0.017513200723305,0.0243893608668613,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYCP1,,-0.0550144285714271,0.0176454236409187,-3.1177731796618224,0.002487217772839,0.003884875011883,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYCP2,,0.0095862857142874,0.051924627540344,0.1846192484835669,0.8538477369561968,0.8714226474938886,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SYCP2L,,-0.0180634285714282,0.0193238355881319,-0.934774490760117,0.3522015224329948,0.3961434893149942,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYCP3,,-0.1523400816326541,0.0343357730940219,-4.436774474700184,2.031050007916769e-05,4.043411977283071e-05,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SYDE1,,-0.0157281224489778,0.0358435342212404,-0.4387994317719241,0.6617866578021826,0.6965405176646522,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
