gene_symbol,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance
ABCD4,4.010036,3.7852357142857156,3.4968775510204075,-0.2248002857142848,-0.28835816326530805,monotonic_down,0.15
ABCE1,4.545076,4.452701020408163,5.563626530612245,-0.09237497959183649,1.1109255102040816,tumor_specific,0.15
ABCF1,6.968722999999998,7.212890816326529,7.4213025510204105,0.24416781632653084,0.20841173469388163,monotonic_up,0.15
ABCF2,4.861726999999999,4.964475510204081,5.403976530612245,0.10274851020408171,0.43950102040816397,non_monotonic,0.15
ABCF3,4.4254109999999995,4.431543877551022,4.598620408163267,0.006132877551022098,0.16707653061224548,non_monotonic,0.15
ABCG1,7.613651999999998,7.216703061224486,6.6441459183673475,-0.3969489387755125,-0.5725571428571383,monotonic_down,0.15
ABCG2,7.8652750000000005,6.980229591836732,3.0796311224489807,-0.8850454081632684,-3.9005984693877513,monotonic_down,0.15
ABCG4,2.220694,2.1580377551020415,2.1258030612244903,-0.0626562448979584,-0.03223469387755129,non_monotonic,0.15
ABCG5,2.7415820000000015,2.6481959183673474,2.967544897959185,-0.09338608163265416,0.3193489795918376,non_monotonic,0.15
ABCG8,2.3815739999999996,2.27826530612245,2.251689795918367,-0.10330869387754982,-0.026575510204082775,non_monotonic,0.15
ABHD1,2.1893160000000007,2.2171010204081636,2.3381785714285708,0.027785020408162886,0.12107755102040718,non_monotonic,0.15
ABHD10,5.949572,5.530581632653058,5.916829591836737,-0.41899036734694217,0.38624795918367916,non_monotonic,0.15
ABHD11,4.804937,4.549358163265305,5.1271515306122435,-0.2555788367346947,0.5777933673469384,non_monotonic,0.15
ABHD12,6.03789,5.802332653061224,6.181111224489794,-0.2355573469387764,0.37877857142857074,non_monotonic,0.15
ABHD12B,2.918726,2.5829438775510196,2.999455612244896,-0.3357821224489803,0.41651173469387626,non_monotonic,0.15
ABHD13,6.15905,6.024218877551019,6.393181122448976,-0.13483112244898088,0.3689622448979568,non_monotonic,0.15
ABHD14A,4.579894,5.01714387755102,5.063939795918368,0.43724987755101985,0.046795918367347866,non_monotonic,0.15
ABHD14B,6.143814000000001,5.903489795918366,5.8339020408163265,-0.24032420408163446,-0.06958775510203985,non_monotonic,0.15
ABHD15,5.8193079999999995,5.452811224489797,5.066060714285715,-0.36649677551020243,-0.3867505102040818,monotonic_down,0.15
ABHD2,5.348677999999999,5.338594387755101,5.897552551020411,-0.010083612244897289,0.5589581632653093,tumor_specific,0.15
ABHD3,9.575727000000002,8.998815306122449,6.878104081632657,-0.5769116938775536,-2.120711224489792,monotonic_down,0.15
ABHD4,2.6359900000000005,2.4697081632653064,2.4464265306122455,-0.1662818367346941,-0.023281632653060935,non_monotonic,0.15
ABHD5,5.484154000000001,4.709127040816328,3.6761913265306116,-0.7750269591836734,-1.032935714285716,monotonic_down,0.15
ABHD6,3.5903839999999985,3.4372877551020413,2.9596204081632647,-0.15309624489795715,-0.47766734693877666,monotonic_down,0.15
ABHD8,3.2294480000000005,3.0740561224489795,2.947457142857143,-0.15539187755102102,-0.12659897959183652,non_monotonic,0.15
ABI1,7.638519999999999,7.319499999999998,7.153333673469385,-0.31902000000000097,-0.1661663265306128,monotonic_down,0.15
ABI2,3.1340540000000003,3.2157602040816333,3.951901020408163,0.08170620408163298,0.7361408163265297,tumor_specific,0.15
ABI3,4.714223999999999,4.680431632653061,4.266388775510202,-0.0337923673469378,-0.41404285714285916,non_monotonic,0.15
ABI3BP,5.143475,6.684731632653059,3.8934678571428574,1.5412566326530595,-2.7912637755102017,adjacent_specific,0.15
ABL1,5.580732000000001,5.468837755102039,5.437663265306121,-0.11189424489796185,-0.031174489795918525,non_monotonic,0.15
