gene_symbol,raw_log2fc,raw_fdr,deposited_log2fc,deposited_fdr,comparison,raw_significant,deposited_significant,sign_agreement,conclusion_changed_materially
CNST,0.0001357758916853,0.998823204108172,-0.0035983469387748,0.9583907571261664,adjacent_vs_healthy,False,False,False,True
SLC39A10,7.13472584683572e-05,0.998973146501892,-0.0003605306122445,0.993307440756476,adjacent_vs_healthy,False,False,False,True
OR4K17,7.53096755321536e-05,0.998973146501892,-0.0006622448979594,0.9890013949796546,adjacent_vs_healthy,False,False,False,True
FBL,-9.37969792182969e-05,0.99905947218118,2.1673469388971967e-05,0.999652592031434,adjacent_vs_healthy,False,False,False,True
ZNF736,4.38730034209023e-05,0.999117711077744,-0.0006329387755097,0.9860999861619408,adjacent_vs_healthy,False,False,False,True
FUCA2,3.39388893930703e-05,0.999225330412615,-5.7285714285981726e-05,0.9984065968688745,adjacent_vs_healthy,False,False,False,True
CCDC149,-2.66483688533548e-05,0.999433421614948,0.0001295102040819,0.9971345529622996,adjacent_vs_healthy,False,False,False,True
MIA2,-0.899045964461171,1.64653702412648e-32,-0.3992342448979591,5.725463657454356e-08,tumor_vs_healthy,True,False,True,True
SCARA5,-0.500935939867877,2.82648517224428e-28,-0.4962851020408174,1.4535230976598418e-29,tumor_vs_healthy,True,False,True,True
CTU2,0.903156654864762,2.59361946160416e-26,0.3574281020408163,2.753960671627285e-13,tumor_vs_healthy,True,False,True,True
HNRNPM,0.578347043830133,6.79296461920888e-24,-0.2451902244897983,9.59453515712181e-07,tumor_vs_healthy,True,False,False,True
SMAD7,-0.496416942840431,7.69931023307269e-24,-0.5030724081632649,1.0146075419550811e-20,tumor_vs_healthy,False,True,True,True
ZFP91,-0.538994701011269,5.59097768824135e-22,-0.3508546938775501,1.1578817261426911e-11,tumor_vs_healthy,True,False,True,True
TXNRD3,0.399070266425185,1.6017200998449101e-21,0.9918234285714292,6.644307588271422e-34,tumor_vs_healthy,False,True,True,True
ZNF44,-0.451416462364926,4.28225865832809e-21,-0.9122611836734692,8.582605264099987e-34,tumor_vs_healthy,False,True,True,True
DDX5,0.96282266847191,6.7388754381727904e-21,0.4377703673469408,3.5353006631859306e-14,tumor_vs_healthy,True,False,True,True
CHAF1B,0.811557467967192,6.71551511454151e-19,0.326318897959184,2.2733241479738866e-15,tumor_vs_healthy,True,False,True,True
IGLV1-44,-1.5937228795524,1.18525750423426e-17,-0.1205349795918366,0.001272869534551,tumor_vs_healthy,True,False,True,True
RPL4,0.470445833762323,4.63453914312722e-17,0.5060395510204074,7.893667545315402e-28,tumor_vs_healthy,False,True,True,True
NAA38,-0.686200298571878,1.1199211162557702e-15,0.5445443061224493,4.604107427811805e-15,tumor_vs_healthy,True,True,False,True
NDUFA10,-0.570817535177978,2.9229341824134103e-15,-0.4387371836734708,1.1308029906068354e-05,tumor_vs_healthy,True,False,True,True
PNN,0.501567021048341,1.43659354995729e-13,0.4999921020408164,1.080949443855084e-16,tumor_vs_healthy,True,False,True,True
GANC,-0.346121479374593,2.86729340520551e-13,-0.5501378775510202,6.877973036968539e-16,tumor_vs_healthy,False,True,True,True
LCMT1,-0.500406323874381,7.09410520940929e-13,-0.498126,1.793289682115032e-15,tumor_vs_healthy,True,False,True,True
CHEK2,0.380618055629576,1.45619420796173e-12,0.9873070204081644,8.489004104799565e-24,tumor_vs_healthy,False,True,True,True
GFOD1,-0.42429435493461,2.93486664049199e-12,-0.561775448979593,6.696796549984014e-15,tumor_vs_healthy,False,True,True,True
ZNF43,-0.409373755995611,4.54028961273179e-12,-0.9763157959183686,2.4254889218220506e-12,tumor_vs_healthy,False,True,True,True
ACSL4,0.432898946184763,5.67746550918164e-12,0.9147852857142862,2.660163201895964e-36,tumor_vs_healthy,False,True,True,True
PANK2,0.695237600523731,3.6793543931843795e-11,0.0722518979591839,0.0509066861588594,tumor_vs_healthy,True,False,True,True
SERPINB9,0.710493542162189,5.2202527354119597e-11,0.337824795918368,2.536660460440298e-10,tumor_vs_healthy,True,False,True,True
RAB4A,-0.500467025542989,8.06695528098972e-11,-0.2392967959183654,2.445204132758408e-15,tumor_vs_healthy,True,False,True,True
IPO11,0.46013840505727,1.23979366044216e-10,0.6879404081632647,1.1018198045311465e-29,tumor_vs_healthy,False,True,True,True
CCPG1,-0.496738900104122,2.99715774535104e-10,-0.8259966938775518,3.6493950615286604e-21,tumor_vs_healthy,False,True,True,True
COX16,-0.392503010252366,6.16583288048964e-10,-0.5302958775510191,3.7461025300856473e-22,tumor_vs_healthy,False,True,True,True
SDCBP2,-0.299112141483273,1.1692043990908501e-09,-3.613351102040817,2.5309057612145233e-51,tumor_vs_healthy,False,True,True,True
CRNKL1,0.50001214370136,1.22852700308903e-08,0.4971924489795913,7.739776908051007e-13,tumor_vs_healthy,True,False,True,True
IGLL5,-0.241856615761068,1.43460326039714e-08,-0.5249268571428574,4.039208010947787e-08,tumor_vs_healthy,False,True,True,True
FKBP1A,-0.562431187523279,2.24301735620525e-08,-0.4493663265306091,4.811979742580077e-09,tumor_vs_healthy,True,False,True,True
CORO7,0.429681966508221,5.01758145761589e-08,-0.0269888979591836,0.627317679915726,tumor_vs_healthy,False,False,False,True
CDAN1,0.224727382602933,6.59359904658205e-08,0.5542566530612247,4.13421154588911e-14,tumor_vs_healthy,False,True,True,True
KCNK6,-0.500319148440116,1.03043008959642e-07,-0.4999897959183679,2.9083829163259806e-09,tumor_vs_healthy,True,False,True,True
KRT17,-0.163576453795224,3.45254956174371e-07,0.1371861224489796,7.518144307194615e-05,tumor_vs_healthy,False,False,False,True
APLF,0.392822932831447,3.468306196378e-07,0.6153618367346945,6.821913837726228e-21,tumor_vs_healthy,False,True,True,True
YKT6,0.490994398509789,6.7854310373202e-07,0.5027968163265308,3.1861328584866394e-10,tumor_vs_healthy,False,True,True,True
KLHL35,0.50088697688286,7.18407569631398e-07,0.4999797142857147,5.271137769145447e-10,tumor_vs_healthy,True,False,True,True
DRG1,0.192289789561331,8.5211667955416e-07,0.500965428571428,6.63741077711286e-20,tumor_vs_healthy,False,True,True,True
CLSPN,0.278862028082173,9.10413016021372e-07,-0.0173393061224484,0.669674495494242,tumor_vs_healthy,False,False,False,True
ZNF613,-0.498450717224949,1.64623081291047e-06,-0.5022259183673468,2.036782874289236e-07,tumor_vs_healthy,False,True,True,True
SRCAP,0.227782286048781,5.52176177222561e-06,0.8027478775510191,6.876647312956294e-21,tumor_vs_healthy,False,True,True,True
STBD1,-0.215701674973938,8.23868286254657e-06,-1.4830266938775505,1.912783715629729e-24,tumor_vs_healthy,False,True,True,True
FANCD2,0.217929680632908,2.24772674220261e-05,0.6763516734693882,1.3573310082684157e-21,tumor_vs_healthy,False,True,True,True
IL23A,-0.400868958406954,5.28918719622103e-05,-0.7516813469387751,1.6460001995352705e-08,tumor_vs_healthy,False,True,True,True
