task,model,metric,outer_fold_mean,outer_fold_sd,repeat_mean_sd,aggregated_oof_metric,aggregated_oof_bootstrap_ci_lower,aggregated_oof_bootstrap_ci_upper,mean,median,standard_deviation,fold_minimum,fold_maximum,repeat_mean_standard_deviation,analysis_provenance
task_a_three_class,random_forest,roc_auc_ovr_macro,0.9933713786381662,0.006352991549803243,0.0019926618513800673,0.9962539069681927,0.9914352241941707,0.9993373069351508,0.9933713786381662,0.9955555555555556,0.006352991549803243,0.9838888888888888,1.0,0.0019926618513800673,raw_cel_rma
task_a_three_class,random_forest,brier_score_multiclass,0.0891327684498912,0.035378897965265874,0.008733467669147931,0.0831320724202759,0.06114109402856206,0.10578541556377251,0.0891327684498912,0.0792707085086745,0.035378897965265874,0.0397378780914673,0.1506805529397438,0.008733467669147931,raw_cel_rma
task_b_field_effect,elastic_net,f1_macro,0.9926277926277927,0.015262668412479218,8.002082733056289e-05,0.9924854023863925,0.9758917380189536,1.0,0.9926277926277927,1.0,0.015262668412479218,0.9626769626769628,1.0,8.002082733056289e-05,raw_cel_rma
task_b_field_effect,elastic_net,balanced_accuracy,0.9949122807017544,0.01053649257430427,0.00015193428136569788,0.9948979591836735,0.9838665848527349,1.0,0.9949122807017544,1.0,0.01053649257430427,0.9736842105263156,1.0,0.00015193428136569788,raw_cel_rma
task_b_field_effect,elastic_net,log_loss,0.12631784962495174,0.03850055502497284,0.013309965568354069,0.12552849454482723,0.11016460711041554,0.14567833623935744,0.12631784962495174,0.1278220111457503,0.03850055502497284,0.05020752673867,0.1883200814596853,0.013309965568354069,raw_cel_rma
task_b_field_effect,elastic_net,roc_auc,1.0,0.0,0.0,0.9997959183673469,0.9987752009894867,1.0,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,elastic_net,pr_auc,1.0,0.0,0.0,0.999607843137255,0.9976452119309263,1.0000000000000002,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,elastic_net,brier_score,0.02003275935130098,0.007733669095806166,0.0030216807214801114,0.018827870785434853,0.013830007055873176,0.02627594658182234,0.02003275935130098,0.0211425049222053,0.007733669095806166,0.0039640227231923,0.0312492950265356,0.0030216807214801114,raw_cel_rma
task_b_field_effect,linear_svm,f1_macro,0.9975579975579976,0.009457834789273353,0.004229672301755485,1.0,1.0,1.0,0.9975579975579976,1.0,0.009457834789273353,0.9633699633699632,1.0,0.004229672301755485,raw_cel_rma
task_b_field_effect,linear_svm,balanced_accuracy,0.9983333333333333,0.006454972243679033,0.0028867513459481953,1.0,1.0,1.0,0.9983333333333333,1.0,0.006454972243679033,0.975,1.0,0.0028867513459481953,raw_cel_rma
task_b_field_effect,linear_svm,log_loss,0.06504449435385017,0.010191580804489732,0.0006523351565774094,0.06497575237908366,0.054266324836092075,0.07691013150194102,0.06504449435385017,0.0663089317249811,0.010191580804489732,0.0451686084930283,0.0830455158561263,0.0006523351565774094,raw_cel_rma
task_b_field_effect,linear_svm,roc_auc,1.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,linear_svm,pr_auc,1.0,0.0,0.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,linear_svm,brier_score,0.007394606754902402,0.0034249529731573206,0.0004421201005322466,0.007225259390874547,0.004354339324497473,0.01116405206213864,0.007394606754902402,0.0070728601826054,0.0034249529731573206,0.0027433145797392,0.0152125674922943,0.0004421201005322466,raw_cel_rma
task_b_field_effect,random_forest,f1_macro,0.9926277926277927,0.015262668412479218,8.002082733056289e-05,0.9924854023863925,0.9758917380189536,1.0,0.9926277926277927,1.0,0.015262668412479218,0.9626769626769628,1.0,8.002082733056289e-05,raw_cel_rma
task_b_field_effect,random_forest,balanced_accuracy,0.9949122807017544,0.01053649257430427,0.00015193428136569788,0.9948979591836735,0.9838665848527349,1.0,0.9949122807017544,1.0,0.01053649257430427,0.9736842105263156,1.0,0.00015193428136569788,raw_cel_rma
task_b_field_effect,random_forest,log_loss,0.044031783348248824,0.014214750386362792,0.0023404116513294462,0.04383860753161323,0.027899514631936833,0.062334730492544226,0.044031783348248824,0.043280426503604,0.014214750386362792,0.0128107891112597,0.0688781356354702,0.0023404116513294462,raw_cel_rma
task_b_field_effect,random_forest,roc_auc,1.0,0.0,0.0,0.9997959183673468,0.9988174696535734,1.0,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,random_forest,pr_auc,1.0,0.0,0.0,0.9996078431372548,0.9978625541125541,1.0000000000000002,1.0,1.0,0.0,1.0,1.0,0.0,raw_cel_rma
task_b_field_effect,random_forest,brier_score,0.00827451065865292,0.005310839829310052,0.0008093814264889639,0.007943716005803157,0.0029210709565863804,0.014531800209216602,0.00827451065865292,0.0061066666666666,0.005310839829310052,0.0007465517241379,0.019201724137931,0.0008093814264889639,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,f1_macro,0.9847133562345373,0.018878233062388162,0.004875635919106589,0.9846902908324003,0.9642401021711366,1.0,0.9847133562345373,1.0,0.018878233062388162,0.9472222222222222,1.0,0.004875635919106589,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,balanced_accuracy,0.984736842105263,0.01883792535650458,0.004873752415119036,0.9846938775510203,0.9642857142857143,1.0,0.984736842105263,1.0,0.01883792535650458,0.9473684210526316,1.0,0.004873752415119036,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,log_loss,0.08385413508280902,0.0398207966989631,0.00447445229404192,0.0833809675640719,0.06665627317369519,0.10406759251669719,0.08385413508280902,0.0771833427929283,0.0398207966989631,0.0252177609955018,0.1722551827976056,0.00447445229404192,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,roc_auc,0.9996666666666667,0.0012909944487358071,0.0005773502691896263,0.9996876301541024,0.998646397334444,1.0,0.9996666666666667,1.0,0.0012909944487358071,0.995,1.0,0.0005773502691896263,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,pr_auc,0.9996969696969696,0.001173631317032548,0.0005248638810815134,0.9996917950853812,0.998700005724765,1.0,0.9996969696969696,1.0,0.001173631317032548,0.9954545454545454,1.0,0.0005248638810815134,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,brier_score,0.01380133973531874,0.009356231855434221,0.001537474003341192,0.012847122080829255,0.006550607893929109,0.02108051706252426,0.01380133973531874,0.0151765786039701,0.009356231855434221,0.0021607710452368,0.0334092988900517,0.001537474003341192,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,f1_macro,0.9898106455423529,0.016325435009163104,0.0003171394536825031,0.9897948557742373,0.9744731838191243,1.0,0.9898106455423529,1.0,0.016325435009163104,0.9472222222222222,1.0,0.0003171394536825031,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,balanced_accuracy,0.9898245614035087,0.01629414847428501,0.00030386856273133164,0.9897959183673469,0.9744897959183674,1.0,0.9898245614035087,1.0,0.01629414847428501,0.9473684210526316,1.0,0.00030386856273133164,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,log_loss,0.06346944375389987,0.02290195013376779,0.0028733160503533048,0.06313687090242916,0.04497949150645003,0.08807804958696051,0.06346944375389987,0.0529805591126924,0.02290195013376779,0.0397038120363693,0.1145919139989803,0.0028733160503533048,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,roc_auc,0.9996666666666667,0.0012909944487358071,0.0005773502691896263,0.9996876301541024,0.9985422740524782,1.0,0.9996666666666667,1.0,0.0012909944487358071,0.995,1.0,0.0005773502691896263,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,pr_auc,0.9996969696969696,0.001173631317032548,0.0005248638810815134,0.999696908466357,0.998639455782313,1.0,0.9996969696969696,1.0,0.001173631317032548,0.9954545454545454,1.0,0.0005248638810815134,raw_cel_rma
task_c_tumor_vs_adjacent,linear_svm,brier_score,0.010176945128027914,0.008875330228387822,0.0006942435865845432,0.010068825889356705,0.0035768333380833137,0.019740583312501243,0.010176945128027914,0.0059182191183589,0.008875330228387822,0.0019901069241412,0.0307465151386734,0.0006942435865845432,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,f1_macro,0.9881439819822362,0.016187246783892956,0.0027598062821700205,0.9897948557742373,0.9744731838191243,1.0,0.9881439819822362,1.0,0.016187246783892956,0.949874686716792,1.0,0.0027598062821700205,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,balanced_accuracy,0.988157894736842,0.01616104154902611,0.0027474490812922202,0.9897959183673469,0.9744897959183674,1.0,0.988157894736842,1.0,0.01616104154902611,0.95,1.0,0.0027474490812922202,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,log_loss,0.03303674509139209,0.021420041496779143,0.003861343737424503,0.03236483281747558,0.017478424217749974,0.050843042083426784,0.03303674509139209,0.0325340328378952,0.021420041496779143,0.002011348960035,0.0716096047168707,0.003861343737424503,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,roc_auc,0.9996666666666667,0.0012909944487358071,0.0005773502691896263,0.9997917534360683,0.9989587671803416,1.0,0.9996666666666667,1.0,0.0012909944487358071,0.995,1.0,0.0005773502691896263,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,pr_auc,0.9996969696969698,0.0011736313170325147,0.0005248638810813851,0.9997959183673469,0.9990093124628492,1.0,0.9996969696969698,1.0,0.0011736313170325147,0.9954545454545456,1.0,0.0005248638810813851,raw_cel_rma
task_c_tumor_vs_adjacent,random_forest,brier_score,0.00796000877192978,0.007216999470682001,0.0010622536934920385,0.007660544217687075,0.002138933177437642,0.015029139739229024,0.00796000877192978,0.0092730263157894,0.007216999470682001,2.2500000000000025e-05,0.0209712499999999,0.0010622536934920385,raw_cel_rma
