gene_symbol,log2_fold_change_reference,adjusted_p_value_reference,log2_fold_change_adjusted,adjusted_p_value_adjusted,reference_significant,adjusted_significant,sign_agreement,lost_significance,gained_significance,changed_direction,reference_model,adjusted_model,effect_difference,effect_direction_agreement,significance_retained
POLD4,-0.501455227753808,1.40787524123955e-08,-0.474824761814686,6.61281826364202e-07,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.026630465939121994,True,False
SLC16A4,0.506073046834249,3.2606738073262e-08,0.441034133059131,6.34398828836123e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.06503891377511806,True,False
SHTN1,-0.504631599627423,3.62185732302721e-08,-0.471986582844284,1.84305803437233e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.03264501678313897,True,False
PCDH18,0.528733120176347,4.41145148781385e-08,0.481666059216299,3.61028596756311e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.04706706096004798,True,False
ADAM28,-0.511283184699829,5.46820138604905e-08,-0.498040119151784,1.07231687272089e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.013243065548045052,True,False
C1orf198,0.524248004280714,6.10826468652376e-08,0.492570155638311,2.53958965901776e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.03167784864240303,True,False
PYCARD,-0.501140831213258,7.82853890383296e-08,-0.489751613971,1.159317969396e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.011389217242258054,True,False
CMTM8,-0.500356723530451,8.06501643128571e-08,-0.455748871695197,5.75076348794926e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.04460785183525401,True,False
DEPP1,0.523525250510915,9.29207750405345e-08,0.499660694895246,1.91419868185923e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.023864555615669025,True,False
COPRS,0.507535583033999,1.02122128190598e-07,0.461844938455853,6.8995713668498e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.045690644578146034,True,False
SLC16A14,0.530957941511377,1.03428113214654e-07,0.496635571327149,4.17073289438249e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.03432237018422801,True,False
RPP25,-0.532932438043491,1.48671837463587e-07,-0.470362880270125,1.49871245172489e-05,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.06256955777336598,True,False
