gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
SDC2,,-0.2022535714285718,0.1587401260536534,-1.2741174928903023,0.2056659838439775,0.2538662433727444,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDC3,,0.2405321428571434,0.0643559305257932,3.737528785489936,0.0003141414919824,0.000590741136528,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SDC4,,0.4713214285714286,0.0715080070412243,6.591169969255502,2.2777897949089715e-09,6.7280666607301915e-09,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SDCBP,,-0.0300994897959183,0.0827363540612267,-0.3638000506239853,0.7167990659209817,0.7580877751005661,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDCBP2,,-3.055963265306125,0.145723834799211,-20.97092263264175,8.186082947850395e-38,4.708852547645665e-36,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDCCAG1,,0.0287979591836755,0.0430955040087493,0.6682358135973276,0.5055700804725148,0.5633884075966687,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SDCCAG3,,1.0012301020408172,0.0552268461000607,18.129409385913053,6.462793934705632e-33,1.8320766878483676e-31,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SDCCAG8,,0.3202500000000006,0.0714315050097145,4.483315869607488,2.0156600779172065e-05,4.2765954851285504e-05,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SDF2,,-0.1948989795918345,0.0507579072595453,-3.8397757140624575,0.0002195831942505,0.0004203140664049,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDF2L1,,0.3078673469387736,0.0731041004383149,4.211355383526716,5.682770905328291e-05,0.0001155241917974,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SDF4,,-0.2234270408163254,0.0332441039697652,-6.720802011073251,1.2439826159136264e-09,3.750661758827467e-09,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDHA,,-0.9093,0.0593221360344542,-15.32817360912086,1.1665672530072618e-27,1.7138457173810392e-26,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDHAF1,,0.0071765306122451,0.0273037270156267,0.2628406960023258,0.793230828742952,0.8254872638426872,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SDHAF2,,-0.1947224489795926,0.0365257815425711,-5.331096030146299,6.360094301207777e-07,1.5434131467626318e-06,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDHAP2,,-0.112354591836735,0.0321930094181972,-3.490030719937164,0.000728259906434,0.0013155662825905,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDHAP3,,0.0323142857142855,0.0277146810776044,1.1659627481839616,0.2464884004851123,0.2986787465943193,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SDHB,,-0.6147255102040798,0.0480632194508776,-12.789936197102936,1.5526090153884072e-22,1.3412738499544137e-21,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDHC,,-0.0835122448979603,0.0431688070009606,-1.934550679060943,0.0559590837666441,0.0773418230921097,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDHD,,-1.0053999999999998,0.0731309828905057,-13.747935010053387,1.6573593857926967e-24,1.741507875579081e-23,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDK1,,-0.2937938775510202,0.0531791838408133,-5.524602980565923,2.770863861743384e-07,6.928069327326858e-07,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDK2,,-0.2384040816326535,0.0533102313462091,-4.472013638140136,2.1059680131760294e-05,4.459752082179024e-05,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDPR,,-2.413004081632653,0.1477682032911303,-16.32965704319077,1.3742049203615974e-29,2.5280059597763107e-28,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDR16C5,,-0.5072974489795925,0.1427004864462148,-3.554980516277336,0.0005861885630599,0.0010704391994514,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDR16C6,,-0.0371448979591835,0.0274128862215583,-1.3550159461126614,0.1785597595647685,0.2234784606660877,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDR39U1,,-0.0249545918367353,0.03636396412169,-0.6862450901454409,0.4941956749825554,0.5525565594966149,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDR42E1,,-0.0502280612244905,0.0692122934212426,-0.7257101122020293,0.4697638255355961,0.5286856152144315,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDR9C7,,-0.0166418367346938,0.0228738975744197,-0.727547051417452,0.4686433657168761,0.5275189369634834,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDS,,0.1260081632653067,0.0534036131126453,2.359543782169094,0.0203009222427426,0.0303326971279777,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SDSL,,-0.6082428571428551,0.0819468171790803,-7.422409778449962,4.4338054691812725e-11,1.4999938900712764e-10,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SEC1,,-0.0946306122448978,0.0303448378910837,-3.118507753594011,0.0023930373535029,0.0040627223549439,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SEC11A,,-0.1476035714285704,0.0357816118591461,-4.125123597271445,7.829901157145747e-05,0.0001571924483678,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SEC11C,,-0.0882020408163262,0.044961245385767,-1.961734824281532,0.0526597824828708,0.0731748838471654,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SEC13,,0.244904591836736,0.0473459295067902,5.1726641421542086,1.2422563166717895e-06,2.938571284560924e-06,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SEC14L1,,0.257585714285713,0.0572845661136814,4.496598853075618,1.9143069270341084e-05,4.0701735221361726e-05,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SEC14L2,,0.2256806122448984,0.0259310440630248,8.703105501513415,8.42153273474315e-14,3.517902221797051e-13,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SEC14L3,,-0.0778112244897957,0.0289955184869355,-2.683560375885507,0.0085657331488676,0.013486443327085,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SEC14L4,,0.1611882653061225,0.0457539736696695,3.5229347831044184,0.000652651714003,0.0011853943179068,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SEC14L5,,-0.2241571428571429,0.0412709566145246,-5.43135321409668,4.142576136960402e-07,1.0214277343657866e-06,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SEC16A,,0.0736999999999996,0.0267267014830664,2.757541930368584,0.0069598441644116,0.0111086790921617,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SEC16B,,0.3467479591836735,0.0480995708617352,7.208961597192188,1.2346080480707075e-10,4.0355257056251103e-10,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SEC22A,,0.0522484693877549,0.0324218804241972,1.6115187862071336,0.1103159602775262,0.144239519549794,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
