"gene_symbol","u0_log2fc","u0_fdr","u1_log2fc","u1_fdr","u2_log2fc","u2_fdr","qc_log2fc","qc_fdr","deposited_log2fc","deposited_fdr","sample_direction_consistency","subgroups_tested","subgroup_labels","subgroup_sign_agreement_fraction","subgroup_effect_min","subgroup_effect_max","major_demographic_subgroup_dependence","healthy","adjacent_normal","tumor","healthy_to_adjacent","adjacent_to_tumor","trajectory_category","u0_screen","u1_adjusted_support","u2_location_support","qc_robust","unadjusted_adjusted_sign_agreement","location_adjusted_sign_agreement","qc_sign_agreement","deposited_support","direction_consistent","high_direction_consistency","subgroup_robust","evidence_score","evidence_tier","composition_adjusted_log2fc","composition_adjusted_fdr","composition_robust"
"NAV1",0.611431878528987,1.88873811321337e-21,0.575116671987762,1.17655784777658e-17,0.580105880369018,1.40259502717545e-17,0.569094186519253,1.09748904501815e-17,0.612063306122449,3.49207670357251e-23,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.487906681133417,0.685846799345895,"False",4.04266957036288,4.65410144889186,4.34705893170203,0.611431878528984,-0.307042517189832,"non_monotonic","True","False","True","True","True","True","True","True","True","True","True",0.733432524534998,"Tier 2 - provisional",0.393509190449301,5.16413124405468e-08,FALSE
"SP110",0.939539231642965,1.42146489479029e-15,0.962576598253155,3.51544576141673e-14,0.986217132928282,1.21523658743853e-14,0.973258702067853,1.36073290533564e-14,0.936112938775509,4.17818958478449e-18,0.979591836734694,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.858628314598027,1.07036633468371,"False",5.04981596097272,5.98935519261568,5.02692784237111,0.939539231642963,-0.962427350244575,"adjacent_specific","True","False","True","True","True","True","True","True","True","True","True",0.733368730824857,"Tier 2 - provisional",1.07647897666335,1.71385835443304e-12,TRUE
"RPS15A",-0.567701048851392,4.41125096039903e-21,-0.553286102175938,4.9578485453546e-18,-0.565728523998324,1.33629604924539e-18,-0.545430040113044,2.29072406917126e-18,-0.567435489795919,8.19653948630808e-25,0.989795918367347,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.624466522372805,-0.475201242582029,"False",10.9745902437652,10.4068891949138,11.1437535582182,-0.567701048851392,0.736864363304457,"adjacent_specific","True","False","True","True","True","True","True","True","True","True","True",0.733096329525001,"Tier 2 - provisional",-0.768657626649972,9.25748294297211e-30,TRUE
"SGK2",-0.608766927172034,5.22901369043407e-05,-0.502336641359856,0.0020225525291744,-0.439294979292236,0.0057217463354655,-0.509128765949909,0.0017484524649925,-0.60853269387755,2.47421782699756e-06,0.744897959183674,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.719920102419709,-0.420757676960289,"False",6.81662611735771,6.20785919018568,4.06568692177021,-0.608766927172031,-2.14217226841546,"monotonic_down","True","False","False","True","True","True","True","True","True","False","True",0.732967327053323,"Tier 2 - provisional",0.150287480988808,0.484147667888838,FALSE
"PCDH9",0.953155947525589,2.93760790501929e-16,0.94868143958673,3.66150879977086e-14,0.946823272649424,7.49614316818601e-14,0.963495392332771,5.6877849422273e-15,0.960033469387756,1.08761914454469e-22,0.979591836734694,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.870184497878167,1.03628662572999,"False",2.82541743430076,3.77857338182634,2.90124711639253,0.953155947525586,-0.877326265433812,"adjacent_specific","True","False","True","True","True","True","True","True","True","True","True",0.732249936059566,"Tier 2 - provisional",0.438317714349374,0.00040851748532563,FALSE
"TWIST2",0.757613327644015,9.89968203530077e-19,0.756483850865125,1.85125044903148e-16,0.743505006964333,6.50341682896234e-16,0.765235420005102,4.65509294235463e-17,0.757734979591837,1.49580647049341e-25,0.959183673469388,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.651673985242319,0.814973717854901,"False",2.75496030642425,3.51257363406827,2.93626528266389,0.757613327644014,-0.576308351404377,"adjacent_specific","True","False","True","True","True","True","True","True","True","True","True",0.732007477151208,"Tier 2 - provisional",0.271819872636508,0.000129839030417594,FALSE
"AHNAK2",1.69926194516135,2.96265844488898e-10,1.60052074386532,3.32346341657642e-08,1.57990065971097,6.65218845246079e-08,1.59579562321971,4.09919342552853e-08,1.69913746938776,2.24895605493674e-15,0.948979591836735,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,1.421449276786,2.00938284234633,"False",2.56189755154169,4.26115949670304,3.81244490068124,1.69926194516135,-0.448714596021798,"non_monotonic","True","True","True","True","True","True","True","True","True","True","True",0.731880059805716,"Tier 2 - provisional",0.0980544328599817,0.790290727955921,FALSE
"C1QB",-0.610630181214108,0.0004324680358482,-0.621049900263942,0.0010830851102252,-0.616889388447113,0.0013718506109185,-0.609224483458037,0.0012981192757535,-0.610396979591838,6.43549343050171e-05,0.663265306122449,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.953102060799302,-0.351865493032737,"False",8.42509470116062,7.81446451994651,7.44384261143453,-0.610630181214112,-0.370621908511979,"monotonic_down","True","False","True","True","True","True","True","True","False","False","True",0.731722446712153,"Tier 2 - provisional",-1.10517335265065,1.79259944721883e-11,TRUE
"RETNLB",-0.657999232383082,0.0134400805394743,-0.707834176759136,0.0154121871973849,-0.845665856848109,0.0022475418178137,-0.714874395527154,0.0145373873050018,-0.657296693877551,0.0060004711499108,0.673469387755102,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-1.00438737462796,-0.380931286747443,"False",8.47895489220506,7.82095565982198,6.17150966930899,-0.65799923238308,-1.64944599051299,"monotonic_down","True","False","True","True","True","True","True","True","False","False","True",0.731141894623947,"Tier 2 - provisional",-0.422276988120896,0.325819122867951,FALSE
"CLIC6",-0.797655070728862,0.000434569608874,-0.638506743429874,0.0092060680033831,-0.568966878360531,0.020093940638034,-0.631220939756596,0.0101667127830791,-0.798662734693877,0.001796701011996,0.693877551020408,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-1.19201570573806,-0.419996695837243,"False",4.91179420293097,4.11413913220211,3.17738130682227,-0.797655070728859,-0.936757825379841,"monotonic_down","True","False","True","True","True","True","True","True","False","False","True",0.730703887686362,"Tier 2 - provisional",-0.58789804659758,0.0677008259213486,FALSE
"PLAT",0.977901995755092,8.37801992949304e-17,0.966035739905909,1.51987806337427e-14,0.977257712370995,1.40137963725299e-14,0.970058368552545,1.418677996365e-14,0.975935265306124,1.47332472802543e-16,0.938775510204082,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.694750461003514,1.13607179557915,"False",5.86591192724612,6.84381392300121,6.07152238195734,0.977901995755091,-0.77229154104387,"adjacent_specific","True","False","True","True","True","True","True","True","True","True","True",0.730386134688091,"Tier 2 - provisional",0.666039674459736,5.39130310435008e-07,TRUE
"REG1A",-2.57366631725354,2.78676971151745e-05,-2.89064924393941,1.35641181455776e-05,-2.66848775332,4.30469905992028e-05,-2.88379257689595,1.5317827373412e-05,-2.57248375510204,0.0002547321774937,0.86734693877551,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-4.80568988288778,-1.0875585035738,"False",6.34165832775604,3.76799201050251,7.06538622799522,-2.57366631725353,3.29739421749271,"adjacent_specific","True","True","True","True","True","True","True","True","True","True","True",0.730103908654394,"Tier 2 - provisional",-3.07866637769552,0.000257512477157622,TRUE
