"gene_symbol","entrez_id","model","contrast","comparison","log2_fold_change","standard_error","moderated_statistic","p_value","adjusted_p_value","average_expression","confidence_interval_lower","confidence_interval_upper","direction","mapping_status","analysis_provenance"
"ADAMTSL1",92949,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0107580352158996,0.026615682050954,0.393903052862901,0.69423043106035,0.81073205774685,2.54683178637704,-0.0432211355524645,0.0647372059842638,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"OR52A4P",390053,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0175452336948251,0.0444453989537708,0.393814434782579,0.694295716441778,0.810757092144024,2.37671671387247,-0.0705089753481129,0.105599442737763,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"LTBR",4055,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0260169741499966,0.0664163535450542,0.39371141026353,0.694371617999181,0.810794519532987,7.01014680149572,-0.104588499287995,0.156622447587988,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"NDUFA10",4705,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.027493738010056,0.0702848621555235,-0.393415581282898,0.694589582165425,0.81099781347807,6.97934794811418,-0.165616364281542,0.11062888826143,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ZNF23",7571,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0360688112464569,0.0925075546752016,0.393039504035336,0.694866709378011,0.81127015573653,4.76382698017958,-0.145306520481127,0.217444142974041,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ZNF860",344787,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0178200272219482,0.0452867728701889,0.392744920298102,0.695083813694069,0.811472390150482,2.36035486025642,-0.0718568300997728,0.107496884543669,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"GRIA1",2890,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0110964988783956,0.0276188350851371,-0.3925380517668,0.695236288166169,0.811599151978816,2.2413745782957,-0.0669675452027172,0.0447745474459261,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"PLEK2",26499,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0586465161518926,0.150952357120271,0.392411708747086,0.695329416649382,0.811656623348931,7.88577040463808,-0.23673468671672,0.354027719020505,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ZNF547",284306,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0106165678063064,0.0263635657376376,0.392172033569513,0.695506095962499,0.811779151127308,2.11292992211548,-0.0428879077394313,0.0641210433520442,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"FLT3",2322,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0192580936811108,0.049110649203565,0.392150200853023,0.695522191030763,0.811779151127308,2.48683912190987,-0.0778026125442481,0.11631879990647,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"SNRNP35",11066,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0176368201981192,0.0449167251405749,-0.391825767626589,0.695761379381181,0.812007063356564,2.27245507412085,-0.106599916143298,0.0713262757470595,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ASB11",140456,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0122997060141959,0.0308819572706614,-0.391744962050344,0.695820958039207,0.812025341715787,2.34707892072663,-0.0743542952001283,0.0497548831717364,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"OPRD1",4985,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0218867450446507,0.0560400271419859,-0.391571973973466,0.69594851003815,0.812122937873487,2.70544708134396,-0.13235873375762,0.0885852436683189,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
