gene_symbol,u0_log2fc,u0_fdr,u1_log2fc,u1_fdr,u2_log2fc,u2_fdr,qc_log2fc,qc_fdr,deposited_log2fc,deposited_fdr,sample_direction_consistency,subgroups_tested,subgroup_labels,subgroup_sign_agreement_fraction,subgroup_effect_min,subgroup_effect_max,major_demographic_subgroup_dependence,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,u0_screen,u1_adjusted_support,u2_location_support,qc_robust,unadjusted_adjusted_sign_agreement,location_adjusted_sign_agreement,qc_sign_agreement,deposited_support,direction_consistent,high_direction_consistency,subgroup_robust,evidence_score,evidence_tier,composition_adjusted_log2fc,composition_adjusted_fdr,composition_robust
PRRX1,1.35827917695481,6.328375109314869e-26,1.30164585756587,6.02517777911302e-22,1.27220667509798,2.36919872127321e-21,1.31024238550454,2.95126291214164e-22,1.35790271428571,4.12032629984543e-34,1.0,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.23206937637114,1.48477699342603,False,2.70347165778727,4.06175083474209,4.90389061178015,1.35827917695481,0.842139777038062,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.950117561254705,Tier 1 - high-confidence,0.730587618815914,1.40808263507839e-10,True
IGFBP5,1.74793208550382,6.3855357439997204e-21,1.67805605525934,1.43638429534135e-17,1.69525854734025,1.50395713667398e-17,1.69599542696395,3.7651473159028095e-18,1.73935459183673,2.9215319898582197e-28,0.969387755102041,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.45731811327972,1.95514815483709,False,3.38305853082348,5.1309906163273,5.04248165364775,1.74793208550382,-0.0885089626795485,field_shift_then_plateau,True,True,True,True,True,True,True,True,True,True,True,0.950078892903558,Tier 1 - high-confidence,0.709083843129786,9.16284115741721e-06,True
TMEM158,1.30687526444911,3.80652554064409e-24,1.2787182808714,8.45950161316432e-21,1.26367799992432,3.38058589263728e-20,1.2821053963935,9.54315679369581e-21,1.30727248979592,2.0292088223522102e-25,1.0,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.10137991186927,1.49028028423096,False,4.74542092137259,6.0522961858217,7.31824768519606,1.30687526444911,1.26595149937436,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.9484798772051,Tier 1 - high-confidence,0.781986466461654,2.17469862685488e-09,True
SPINK2,-1.58195215533971,2.70069972789158e-21,-1.55687703462129,1.4757993981234e-18,-1.58428071064984,6.922613607540441e-19,-1.55171490737974,2.28041224792684e-18,-1.57899085714286,4.508597575484261e-25,0.948979591836735,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,-1.80300437285028,-1.42956146796901,False,5.53685728332065,3.95490512798095,2.46947844885787,-1.5819521553397,-1.48542667912308,monotonic_down,True,True,True,True,True,True,True,True,True,True,True,0.945566677528981,Tier 1 - high-confidence,-1.43276723854275,3.2010038369031997e-12,True
FKBP10,1.30018822411021,4.58600532841771e-26,1.26609089979828,1.8801541595839499e-22,1.25407303042361,7.26179764977006e-22,1.27725232557184,4.71975272621844e-23,1.29744326530612,3.16857698433222e-32,0.979591836734694,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.16244106311787,1.35774744576498,False,4.20869343214677,5.50888165625698,7.14411203932322,1.30018822411021,1.63523038306624,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.944662469519119,Tier 1 - high-confidence,0.614471451786435,4.69583706739003e-11,True
NR4A1,1.72728907069901,4.8849378212558e-21,1.60032274156194,4.4766145896057404e-17,1.59550557400877,1.05346362422124e-16,1.60731228139798,4.01663948693498e-17,1.72658044897959,1.6802408413132e-28,0.989795918367347,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.39829584607277,1.85701979593287,False,4.60335814539094,6.33064721608994,6.28655793949512,1.72728907069901,-0.044089276594823,field_shift_then_plateau,True,True,True,True,True,True,True,True,True,True,True,0.943915686265672,Tier 1 - high-confidence,0.997730765397759,5.41228318453021e-07,True
SULF1,1.60573865782042,2.6706835639093103e-20,1.57225338687357,2.1444011065266e-17,1.54053015158234,8.223711248887871e-17,1.59254578566753,3.1979422643542697e-18,1.60530991836735,3.3609096650428704e-25,0.969387755102041,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.426882516994,1.79192939621351,False,4.40869695367864,6.01443561149905,7.82255423435393,1.60573865782041,1.80811862285488,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.941278449629458,Tier 1 - high-confidence,0.664058631616064,1.17186301757965e-05,True
MMP2,1.29190262784933,4.20445862978001e-25,1.23367027211661,2.83541657218771e-21,1.24046768743672,4.4136280871788404e-21,1.24952056526342,1.7875775342341398e-22,1.2914496122449,4.18792315483048e-33,0.969387755102041,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.11005548810512,1.36480656066741,False,4.10093816810887,5.3928407959582,5.45450080292563,1.29190262784933,0.0616600069674282,field_shift_then_plateau,True,True,True,True,True,True,True,True,True,True,True,0.940888984451478,Tier 1 - high-confidence,0.631490786609395,1.70947717794729e-10,True
IL33,1.69568297808921,1.6627879292173298e-18,1.69686601532629,2.16476210072923e-16,1.65604545825792,8.20002391570541e-16,1.72172935071605,2.41181574938482e-17,1.69873416326531,1.15123573545694e-20,0.948979591836735,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.54665911799222,1.8829527307008,False,3.902889815203,5.59857279329221,5.98768504316415,1.69568297808921,0.389112249871935,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.940091727243054,Tier 1 - high-confidence,0.688907451410168,2.81054926341388e-05,True
ROBO4,1.1818140100983,1.5448411596923098e-30,1.13340210139507,2.5313605013120898e-26,1.16110918934015,1.51703975946972e-27,1.13828794064982,1.99504190485041e-26,1.18901097959184,1.7323800029351e-35,1.0,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.10908126081021,1.317076029847,False,4.7628101314206,5.9446241415189,5.95653055454581,1.1818140100983,0.0119064130269066,field_shift_then_plateau,True,True,True,True,True,True,True,True,True,True,True,0.938100150099648,Tier 1 - high-confidence,0.803697115585903,9.794987042974372e-15,True
