gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method,adjacent_direction_consistency,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance
VEGFC,,1.6534797551020404,0.08962419379199191,18.44903351587841,9.231654261253999e-40,4.394267428356903e-37,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,3.1531080000000005,4.806587755102041,4.373582653061222,1.6534797551020404,-0.433005102040819,non_monotonic,0.15
THBD,,1.2396509795918362,0.06779247020392368,18.285968572363483,2.324020117094275e-39,1.0792522690115852e-36,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,3.1719729999999995,4.411623979591836,4.182840306122448,1.2396509795918362,-0.22878367346938777,non_monotonic,0.15
SRPX,,2.167532857142856,0.11975495914204197,18.099733594931415,3.894811744968499e-39,1.7656479910523863e-36,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,5.4894099999999995,7.656942857142855,4.636190816326529,2.167532857142856,-3.020752040816326,adjacent_specific,0.15
PCOLCE2,,3.0197264081632653,0.15221235929466828,19.83890416097795,6.808004494009447e-39,2.9853101550733298e-36,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,2.5272939999999995,5.547020408163265,2.7478581632653056,3.0197264081632653,-2.799162244897959,adjacent_specific,0.15
C8orf4,,1.9793598367346936,0.10520831654458965,18.8137202622741,6.898825988614838e-39,2.9853101550733298e-36,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,6.731882,8.711241836734693,7.699376530612245,1.9793598367346936,-1.0118653061224485,adjacent_specific,0.15
HEG1,,1.3733280000000025,0.07698738845238136,17.838350249397543,1.7115345400885064e-38,7.241692809618926e-36,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,5.137371999999999,6.510700000000002,6.319769387755101,1.3733280000000025,-0.19093061224490082,non_monotonic,0.15
ROBO4,,1.1890109795918384,0.06625615913298265,17.945667167415728,4.1853718558296387e-38,1.7323800029347024e-35,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,4.760137999999999,5.949148979591837,5.96129693877551,1.1890109795918384,0.012147959183672619,field_shift_then_plateau,0.15
APOD,,2.011227020408162,0.11248426952881967,17.88007362125301,1.079289368366703e-37,4.372270122064261e-35,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,2.871024000000001,4.882251020408163,3.6744132653061206,2.011227020408162,-1.2078377551020427,adjacent_specific,0.15
PMP22,,1.713714714285719,0.09780919341143177,17.52099832862361,1.1674154439503724e-37,4.63074792766981e-35,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,5.758670999999998,7.472385714285717,6.315193367346937,1.713714714285719,-1.1571923469387801,adjacent_specific,0.15
JUN,,1.4372037959183688,0.08055498682133459,17.841276532090898,1.822574061343787e-37,7.082002066935858e-35,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,6.646686,8.083889795918369,8.217354081632655,1.4372037959183688,0.13346428571428604,field_shift_then_plateau,0.15
CCDC80,,2.4014384489795915,0.12495104365200496,19.21903474186034,4.1501677526823296e-37,1.580383880221431e-34,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,3.0215590000000003,5.422997448979592,3.566217857142857,2.4014384489795915,-1.8567795918367347,adjacent_specific,0.15
UCHL1,,2.0420419183673446,0.10824063974079351,18.865759877782246,8.254134803196879e-37,3.0222832048628575e-34,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,3.136479,5.178520918367345,3.5283076530612236,2.0420419183673446,-1.650213265306121,adjacent_specific,0.15
DUSP1,,1.5541114897959192,0.09053946450653713,17.16501746797618,8.162391145333859e-37,3.0222832048628575e-34,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,4.5772129999999995,6.131324489795919,4.893951530612244,1.5541114897959192,-1.2373729591836744,adjacent_specific,0.15
PRRX1,,1.3579027142857143,0.07756730834917151,17.50612136975381,1.1469395687594609e-36,4.120326299845308e-34,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.7121579999999996,4.070060714285714,4.911107653061224,1.3579027142857143,0.8410469387755102,monotonic_up,0.15
TSHZ2,,0.7375343673469401,0.043382738525172486,17.000641094129907,2.435160045175069e-36,8.586193937061725e-34,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,2.7654339999999995,3.5029683673469396,3.2896714285714284,0.7375343673469401,-0.21329693877551126,non_monotonic,0.15
FAM96A,,-0.8739947755102051,0.051733246342535844,-16.894257316142824,3.7691010958188784e-36,1.3047942702616626e-33,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t,1.0,9.290256000000001,8.416261224489796,8.53072346938775,-0.8739947755102051,0.11446224489795398,field_shift_then_plateau,0.15
CALB2,,1.5035417142857135,0.08772399115615548,17.139458595873656,4.096843363109555e-36,1.3929267434572487e-33,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,2.8426940000000007,4.346235714285714,3.027796938775509,1.5035417142857135,-1.3184387755102054,adjacent_specific,0.15
DPT,,2.9106916326530596,0.15868223584274743,18.34289526609347,1.1931770963544176e-35,3.9856301604540545e-33,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,2.6691400000000005,5.57983163265306,2.6742448979591833,2.9106916326530596,-2.905586734693877,adjacent_specific,0.15
