gene_symbol,entrez_id,comparison,log2_fold_change,standard_error,moderated_statistic,p_value,adjusted_p_value,average_expression,confidence_interval_lower,confidence_interval_upper,direction,mapping_status,analysis_provenance_x,adjacent_direction_consistency,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance,analysis_provenance_y,deposited_log2fc,deposited_adjusted_p_value,deposited_sign_agreement,outlier_sensitivity_status,analysis_provenance,candidate_rule
BHMT2,23743,adjacent_vs_healthy,0.614447538905347,0.128328773083961,4.83004730836782,3.35806579789782e-06,1.51366739646832e-05,2.91590289652805,0.363069581174219,0.865825496636475,up,mapped_unique,raw_cel_rma_limma,0.8061224489795918,2.5090389856312636,3.1234865245366095,2.5775146785208065,0.6144475389053459,-0.545971846015803,adjacent_specific,0.15,raw_cel_rma,0.6172828979591833,1.1477918625479609e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
EDN1,1906,adjacent_vs_healthy,-0.524977855278118,0.110094088312602,-4.8087178445939,3.68325605911791e-06,1.6462026718175e-05,7.51764308158364,-0.740705329196255,-0.309250381359982,down,mapped_unique,raw_cel_rma_limma,0.826530612244898,7.865263553321856,7.340285698043744,6.708437717598186,-0.5249778552781112,-0.6318479804455581,monotonic_down,0.15,raw_cel_rma,-0.5247830612244906,5.373313491380551e-07,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
CENPH,64946,adjacent_vs_healthy,-0.522590505131637,0.109688771641674,-4.80449531829827,3.75115443600498e-06,1.6729099257533e-05,3.88180411338328,-0.737525687064388,-0.307655323198886,down,mapped_unique,raw_cel_rma_limma,0.7755102040816326,4.227843772186658,3.7052532670550216,5.48844285462768,-0.5225905051316362,1.7831895875726582,adjacent_specific,0.15,raw_cel_rma,-0.5244373061224499,6.56665324058996e-07,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
ROR2,4920,adjacent_vs_healthy,0.606870531187162,0.127508473588472,4.8011208883266,3.8062851217971e-06,1.6954519851127e-05,3.28314783565966,0.357096561036829,0.856644501337494,up,mapped_unique,raw_cel_rma_limma,0.8367346938775511,2.881301132576273,3.488171663763433,3.31795698331794,0.6068705311871598,-0.17021468044549293,non_monotonic,0.15,raw_cel_rma,0.6042869387755112,3.027163132498316e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
GSTA1,2938,adjacent_vs_healthy,-0.547254297264212,0.115179426389664,-4.79194484035053,3.96019775098996e-06,1.75808058621379e-05,3.88357023293827,-0.772922899665494,-0.321585694862929,down,mapped_unique,raw_cel_rma_limma,0.8571428571428571,4.245941321667278,3.6986870244030663,3.1139175732779982,-0.5472542972642116,-0.5847694511250681,monotonic_down,0.15,raw_cel_rma,-0.5465353673469391,0.0001241571717808,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
PCP4,5121,adjacent_vs_healthy,1.72471828749917,0.364186325941737,4.78104944194303,4.15078173019716e-06,1.8360754591231e-05,3.87606556626331,1.01188380095145,2.43755277404689,up,mapped_unique,raw_cel_rma_limma,0.8877551020408163,2.7340223758922377,4.458740663391404,4.219185979216453,1.724718287499166,-0.23955468417495052,non_monotonic,0.15,raw_cel_rma,1.7240541632653064,2.0907048646581232e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
RARRES1,5918,adjacent_vs_healthy,-0.562650721333368,0.118809048273031,-4.77656511142522,4.23177494827135e-06,1.86832661875686e-05,8.67844187263319,-0.795415329646385,-0.329886113020351,down,mapped_unique,raw_cel_rma_limma,0.7959183673469388,9.051007890813398,8.488357169480027,7.042818608015736,-0.5626507213333714,-1.445538561464291,monotonic_down,0.15,raw_cel_rma,-0.5633417959183689,1.2645110337896094e-06,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
COL4A2,1284,adjacent_vs_healthy,0.580537374921205,0.122613552319634,4.77579344506103,4.24586569882109e-06,1.87410018551449e-05,7.08821028837462,0.340334379612174,0.820740370230235,up,mapped_unique,raw_cel_rma_limma,0.7653061224489796,6.7038004049808535,7.28433777990206,7.954902190250205,0.5805373749212066,0.6705644103481445,monotonic_up,0.15,raw_cel_rma,0.5805852653061239,5.798354570023344e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
LEAP2,116842,adjacent_vs_healthy,-0.74614279648006,0.158525366340971,-4.74948797848351,4.75431492491389e-06,2.07769517753859e-05,5.09823280919382,-1.05657654336355,-0.43570904959657,down,mapped_unique,raw_cel_rma_limma,0.7244897959183674,5.592300336592777,4.8461575401127215,3.6916816099017917,-0.7461427964800551,-1.1544759302109298,monotonic_down,0.15,raw_cel_rma,-0.7469814081632631,6.93395382833968e-05,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
PKP2,5318,adjacent_vs_healthy,-0.546466293515826,0.116081834770596,-4.74792739555493,4.78626185199285e-06,2.09017434207246e-05,8.25690155405216,-0.773899083668924,-0.319033503362727,down,mapped_unique,raw_cel_rma_limma,0.8673469387755102,8.61875085651534,8.072284562999515,7.428097251413162,-0.5464662935158255,-0.6441873115863537,monotonic_down,0.15,raw_cel_rma,-0.5467331836734708,7.329249453478911e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
