probe_id,gene_symbol,entrez_id,symbol_count,entrez_count,mapping_status,accession
11715201_s_at,DUX4L7,653543.0,11,11,ambiguous,GSE44076
11715201_s_at,DUX4L8,26583.0,11,11,ambiguous,GSE44076
11715202_s_at,TCEAL1,9338.0,1,1,mapped_unique,GSE44076
11715203_s_at,ATP13A5,344905.0,1,1,mapped_unique,GSE44076
11715204_x_at,H2AC20,8338.0,1,1,mapped_unique,GSE44076
11715205_x_at,PSG4,5672.0,1,1,mapped_unique,GSE44076
11715206_x_at,PSG4,5672.0,1,1,mapped_unique,GSE44076
11715207_at,WDFY4,57705.0,1,1,mapped_unique,GSE44076
11715208_s_at,CLCN6,1185.0,1,1,mapped_unique,GSE44076
11715209_s_at,SCAND1,51282.0,1,1,mapped_unique,GSE44076
11715210_s_at,PNMA8A,55228.0,1,1,mapped_unique,GSE44076
11715211_s_at,ZNF680,340252.0,1,1,mapped_unique,GSE44076
11715212_x_at,SCAND1,51282.0,1,1,mapped_unique,GSE44076
11715213_s_at,DUX1,26584.0,3,3,ambiguous,GSE44076
11715213_s_at,DUX3,26582.0,3,3,ambiguous,GSE44076
11715213_s_at,DUX5,26581.0,3,3,ambiguous,GSE44076
11715214_at,MARK4,57787.0,1,1,mapped_unique,GSE44076
11715215_s_at,GRK7,131890.0,1,1,mapped_unique,GSE44076
11715216_s_at,UGT2B28,54490.0,1,1,mapped_unique,GSE44076
11715217_s_at,MOGAT2,80168.0,1,1,mapped_unique,GSE44076
11715218_s_at,RTL8C,8933.0,1,1,mapped_unique,GSE44076
11715219_s_at,H2AC11,8969.0,6,6,ambiguous,GSE44076
11715219_s_at,H2AC12,85235.0,6,6,ambiguous,GSE44076
11715219_s_at,H2AC13,8329.0,6,6,ambiguous,GSE44076
11715219_s_at,H2AC15,8330.0,6,6,ambiguous,GSE44076
11715219_s_at,H2AC16,8332.0,6,6,ambiguous,GSE44076
11715219_s_at,H2AC17,8336.0,6,6,ambiguous,GSE44076
11715220_s_at,WDCP,80304.0,1,1,mapped_unique,GSE44076
11715221_x_at,NSUN5,55695.0,1,1,mapped_unique,GSE44076
11715222_at,MAGI3,260425.0,1,1,mapped_unique,GSE44076
11715223_s_at,RNASE8,122665.0,1,1,mapped_unique,GSE44076
11715224_s_at,ACOXL,55289.0,1,1,mapped_unique,GSE44076
11715225_s_at,VPS54,51542.0,1,1,mapped_unique,GSE44076
11715226_s_at,PCDHA5,56143.0,2,2,ambiguous,GSE44076
11715226_s_at,PCDHA6,56142.0,2,2,ambiguous,GSE44076
11715227_s_at,PCDHA4,56144.0,2,2,ambiguous,GSE44076
