geo_accession,sample_title,original_tissue,tissue_class,patient_id,donor_or_patient_group,pairing_status,platform,cel_filename,cel_present_in_tar,author_included,technical_replicate_candidate,technical_replicate_rule,inclusion_status,exclusion_reason,metadata_parsing_source,metadata_parsing_confidence
GSM1012485,Liver Metastasis A4756UR4,Liver Metastasis,liver_metastasis,A4756,A4756,patient_grouped,GPL96,GSM1012485_A4756UR4.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012486,Primary Tumor A4779AR3,Primary Tumor,primary_tumor,A4779,A4779,patient_grouped,GPL96,GSM1012486_A4779AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012487,Normal Colon A4779HR2,Normal Colon,normal_colon,A4779,A4779,patient_grouped,GPL96,GSM1012487_A4779HR2.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012488,Primary Tumor A4792AR4,Primary Tumor,primary_tumor,A4792,A4792,patient_grouped,GPL96,GSM1012488_A4792AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012489,Primary Tumor A4902AR2,Primary Tumor,primary_tumor,A4902,A4902,patient_grouped,GPL96,GSM1012489_A4902AR2.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012490,Primary Tumor A4902AR3,Primary Tumor,primary_tumor,A4902,A4902,patient_grouped,GPL96,GSM1012490_A4902AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012491,Microadenoma A4902DR2,Microadenoma,polyp,A4902,A4902,patient_grouped,GPL96,GSM1012491_A4902DR2.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012492,Primary Tumor A4947AR4,Primary Tumor,primary_tumor,A4947,A4947,patient_grouped,GPL96,GSM1012492_A4947AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012493,Polyp A5086BR4,Polyp,polyp,A5086,A5086,patient_grouped,GPL96,GSM1012493_A5086BR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012494,Primary Tumor A5135AR2,Primary Tumor,primary_tumor,A5135,A5135,patient_grouped,GPL96,GSM1012494_A5135AR2.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012495,Primary Tumor A5135AR2_ez,Primary Tumor,primary_tumor,A5135,A5135,patient_grouped,GPL96,GSM1012495_A5135AR2_ez.CEL.gz,True,True,True,(?i)(?:_ez|rehyb),excluded,technical-replicate indicator,"GEO tissue, patient id, and included characteristics",high
GSM1012496,Microadenoma A5135DR2,Microadenoma,polyp,A5135,A5135,patient_grouped,GPL96,GSM1012496_A5135DR2.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012497,Polyp A5153BR3,Polyp,polyp,A5153,A5153,patient_grouped,GPL96,GSM1012497_A5153BR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012498,Normal Colon A5153HR,Normal Colon,normal_colon,A5153,A5153,patient_grouped,GPL96,GSM1012498_A5153HR.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012499,Primary Tumor A5320AR3,Primary Tumor,primary_tumor,A5320,A5320,patient_grouped,GPL96,GSM1012499_A5320AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012500,Primary Tumor A5465AR3,Primary Tumor,primary_tumor,A5465,A5465,patient_grouped,GPL96,GSM1012500_A5465AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012501,Liver Metastasis A5607UR4,Liver Metastasis,liver_metastasis,A5607,A5607,patient_grouped,GPL96,GSM1012501_A5607UR4.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012502,Primary Tumor A5627AR3,Primary Tumor,primary_tumor,A5627,A5627,patient_grouped,GPL96,GSM1012502_A5627AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012503,Polyp A5627BR3,Polyp,polyp,A5627,A5627,patient_grouped,GPL96,GSM1012503_A5627BR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012504,Polyp A5790BR3,Polyp,polyp,A5790,A5790,patient_grouped,GPL96,GSM1012504_A5790BR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012505,Polyp A5790BR3_2,Polyp,polyp,A5790,A5790,patient_grouped,GPL96,GSM1012505_A5790BR3_2.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012506,Liver Metastasis A5960UR4,Liver Metastasis,liver_metastasis,A5960,A5960,patient_grouped,GPL96,GSM1012506_A5960UR4.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
