probe_id,gene_symbol_raw,entrez_id_raw,gene_symbol,entrez_id
219692_at,KREMEN2,79412,KREMEN2,79412
218798_at,KRI1,65095,KRI1,65095
204738_s_at,KRIT1,889,KRIT1,889
216713_at,KRIT1,889,KRIT1,889
34031_i_at,KRIT1,889,KRIT1,889
203202_at,KRR1,11103,KRR1,11103
203203_s_at,KRR1,11103,KRR1,11103
205900_at,KRT1,3848,KRT1,3848
207023_x_at,KRT10,3858,KRT10,3858
210633_x_at,KRT10,3858,KRT10,3858
213287_s_at,KRT10,3858,KRT10,3858
207811_at,KRT12,3859,KRT12,3859
207935_s_at,KRT13,3860,KRT13,3860
209351_at,KRT14,3861,KRT14,3861
204734_at,KRT15,3866,KRT15,3866
209800_at,KRT16,3868,KRT16,3868
205157_s_at,KRT17///JUP,3872///3728,KRT17///JUP,3872///3728
212236_x_at,KRT17///JUP,3872///3728,KRT17///JUP,3872///3728
201596_x_at,KRT18,3875,KRT18,3875
201650_at,KRT19,3880,KRT19,3880
217338_at,KRT19P2,160313,KRT19P2,160313
207908_at,KRT2,3849,KRT2,3849
213953_at,KRT20,54474,KRT20,54474
218963_s_at,KRT23,25984,KRT23,25984
220267_at,KRT24,192666,KRT24,192666
217325_at,KRT3,3850,KRT3,3850
206677_at,KRT31,3881,KRT31,3881
207146_at,KRT32,3882,KRT32,3882
208483_x_at,KRT33A,3883,KRT33A,3883
207787_at,KRT33B,3884,KRT33B,3884
216921_s_at,KRT35,3886,KRT35,3886
214576_at,KRT36,8689,KRT36,8689
207649_at,KRT37,8688,KRT37,8688
207716_at,KRT38,8687,KRT38,8687
213240_s_at,KRT4,3851,KRT4,3851
214399_s_at,KRT4,3851,KRT4,3851
201820_at,KRT5,3852,KRT5,3852
209125_at,KRT6A,3853,KRT6A,3853
209126_x_at,KRT6B,3854,KRT6B,3854
213680_at,KRT6B,3854,KRT6B,3854
214580_x_at,KRT6C///KRT6B///KRT6A,286887///3854///3853,KRT6C///KRT6B///KRT6A,286887///3854///3853
209016_s_at,KRT7,3855,KRT7,3855
214031_s_at,KRT7,3855,KRT7,3855
207065_at,KRT75,9119,KRT75,9119
207878_at,KRT76,51350,KRT76,51350
209008_x_at,KRT8,3856,KRT8,3856
213711_at,KRT81,3887,KRT81,3887
207669_at,KRT83,3889,KRT83,3889
217031_at,KRT84,3890,KRT84,3890
207670_at,KRT85,3891,KRT85,3891
222060_at,KRT8P12,90133,KRT8P12,90133
208188_at,KRT9,3857,KRT9,3857
220976_s_at,KRTAP1-1,81851,KRTAP1-1,81851
220978_at,KRTAP1-3,81850,KRTAP1-3,81850
220970_s_at,KRTAP2-3///KRTAP2-4,730755///85294,KRTAP2-3///KRTAP2-4,730755///85294
216810_at,KRTAP4-7,100132476,KRTAP4-7,100132476
208532_x_at,KRTAP5-8,57830,KRTAP5-8,57830
214517_at,KRTAP5-9,3846,KRTAP5-9,3846
220972_s_at,KRTAP9-9,81870,KRTAP9-9,81870
213767_at,KSR1,8844,KSR1,8844
213769_at,KSR1,8844,KSR1,8844
213770_at,KSR1,8844,KSR1,8844
200914_x_at,KTN1,3895,KTN1,3895
200915_x_at,KTN1,3895,KTN1,3895
214709_s_at,KTN1,3895,KTN1,3895
200076_s_at,KXD1,79036,KXD1,79036
218054_s_at,KXD1,79036,KXD1,79036
206037_at,KYAT1,883,KYAT1,883
209472_at,KYAT3,56267,KYAT3,56267
204385_at,KYNU,8942,KYNU,8942
210662_at,KYNU,8942,KYNU,8942
210663_s_at,KYNU,8942,KYNU,8942
217388_s_at,KYNU,8942,KYNU,8942
204584_at,L1CAM,3897,L1CAM,3897
204585_s_at,L1CAM,3897,L1CAM,3897
219955_at,L1TD1,54596,L1TD1,54596
220089_at,L2HGDH,79944,L2HGDH,79944
206822_s_at,L3MBTL1,26013,L3MBTL1,26013
206823_at,L3MBTL1,26013,L3MBTL1,26013
210306_at,L3MBTL1,26013,L3MBTL1,26013
213837_at,L3MBTL1,26013,L3MBTL1,26013
216076_at,L3MBTL1,26013,L3MBTL1,26013
216077_s_at,L3MBTL1,26013,L3MBTL1,26013
218701_at,LACTB2,51110,LACTB2,51110
203287_at,LAD1,3898,LAD1,3898
216641_s_at,LAD1,3898,LAD1,3898
206486_at,LAG3,3902,LAG3,3902
219061_s_at,LAGE3,8270,LAGE3,8270
221982_x_at,LAGE3,8270,LAGE3,8270
208071_s_at,LAIR1,3903,LAIR1,3903
210644_s_at,LAIR1,3903,LAIR1,3903
207509_s_at,LAIR2,3904,LAIR2,3904
207816_at,LALBA,3906,LALBA,3906
222346_at,LAMA1,284217,LAMA1,284217
205116_at,LAMA2,3908,LAMA2,3908
213519_s_at,LAMA2,3908,LAMA2,3908
216839_at,LAMA2,3908,LAMA2,3908
216840_s_at,LAMA2,3908,LAMA2,3908
203726_s_at,LAMA3,3909,LAMA3,3909
202202_s_at,LAMA4,3910,LAMA4,3910
210089_s_at,LAMA4,3910,LAMA4,3910
210989_at,LAMA4,3910,LAMA4,3910
210990_s_at,LAMA4,3910,LAMA4,3910
216081_at,LAMA4,3910,LAMA4,3910
210150_s_at,LAMA5,3911,LAMA5,3911
201505_at,LAMB1,3912,LAMB1,3912
211651_s_at,LAMB1,3912,LAMB1,3912
216264_s_at,LAMB2,3913,LAMB2,3913
209270_at,LAMB3,3914,LAMB3,3914
215516_at,LAMB4,22798,LAMB4,22798
216622_at,LAMB4,22798,LAMB4,22798
200770_s_at,LAMC1,3915,LAMC1,3915
200771_at,LAMC1,3915,LAMC1,3915
202267_at,LAMC2,3918,LAMC2,3918
207517_at,LAMC2,3918,LAMC2,3918
219407_s_at,LAMC3,10319,LAMC3,10319
201551_s_at,LAMP1,3916,LAMP1,3916
201552_at,LAMP1,3916,LAMP1,3916
201553_s_at,LAMP1,3916,LAMP1,3916
213728_at,LAMP1,3916,LAMP1,3916
200821_at,LAMP2,3920,LAMP2,3920
203041_s_at,LAMP2,3920,LAMP2,3920
203042_at,LAMP2,3920,LAMP2,3920
205569_at,LAMP3,27074,LAMP3,27074
219463_at,LAMP5,24141,LAMP5,24141
218291_at,LAMTOR2,28956,LAMTOR2,28956
217971_at,LAMTOR3,8649,LAMTOR3,8649
202299_s_at,LAMTOR5,10542,LAMTOR5,10542
202300_at,LAMTOR5,10542,LAMTOR5,10542
202019_s_at,LANCL1,10314,LANCL1,10314
202020_s_at,LANCL1,10314,LANCL1,10314
218219_s_at,LANCL2,55915,LANCL2,55915
217933_s_at,LAP3,51056,LAP3,51056
200673_at,LAPTM4A,9741,LAPTM4A,9741
208029_s_at,LAPTM4B,55353,LAPTM4B,55353
208767_s_at,LAPTM4B,55353,LAPTM4B,55353
214039_s_at,LAPTM4B,55353,LAPTM4B,55353
201720_s_at,LAPTM5,7805,LAPTM5,7805
201721_s_at,LAPTM5,7805,LAPTM5,7805
204414_at,LARGE1,9215,LARGE1,9215
215543_s_at,LARGE1,9215,LARGE1,9215
210966_x_at,LARP1,23367,LARP1,23367
212137_at,LARP1,23367,LARP1,23367
212193_s_at,LARP1,23367,LARP1,23367
212714_at,LARP4,113251,LARP4,113251
214155_s_at,LARP4,113251,LARP4,113251
208952_s_at,LARP4B,23185,LARP4B,23185
208953_at,LARP4B,23185,LARP4B,23185
208954_s_at,LARP4B,23185,LARP4B,23185
214215_s_at,LARP4B,23185,LARP4B,23185
214216_s_at,LARP4B,23185,LARP4B,23185
218651_s_at,LARP6,55323,LARP6,55323
212785_s_at,LARP7,51574,LARP7,51574
215246_at,LARP7,51574,LARP7,51574
217810_x_at,LARS,51520,LARS,51520
204016_at,LARS2,23395,LARS2,23395
34764_at,LARS2,23395,LARS2,23395
208117_s_at,LAS1L,81887,LAS1L,81887
200618_at,LASP1,3927,LASP1,3927
209881_s_at,LAT,27040,LAT,27040
211005_at,LAT,27040,LAT,27040
211768_at,LAT2,7462,LAT2,7462
221581_s_at,LAT2,7462,LAT2,7462
219813_at,LATS1,9113,LATS1,9113
207734_at,LAX1,54900,LAX1,54900
221011_s_at,LBH,81606,LBH,81606
211652_s_at,LBP,3929,LBP,3929
214461_at,LBP,3929,LBP,3929
201795_at,LBR,3930,LBR,3930
208380_at,LBX1,10660,LBX1,10660
204428_s_at,LCAT,3931,LCAT,3931
216390_at,LCAT,3931,LCAT,3931
207710_at,LCE2B,26239,LCE2B,26239
204890_s_at,LCK,3932,LCK,3932
204891_s_at,LCK,3932,LCK,3932
221515_s_at,LCMT1,51451,LCMT1,51451
204012_s_at,LCMT2,9836,LCMT2,9836
204013_s_at,LCMT2,9836,LCMT2,9836
207930_at,LCN1,3933,LCN1,3933
212531_at,LCN2,3934,LCN2,3934
208885_at,LCP1,3936,LCP1,3936
205269_at,LCP2,3937,LCP2,3937
205270_s_at,LCP2,3937,LCP2,3937
206945_at,LCT,3938,LCT,3938
219008_at,LDAH,60526,LDAH,60526
222192_s_at,LDAH,60526,LDAH,60526
222193_at,LDAH,60526,LDAH,60526
203451_at,LDB1,8861,LDB1,8861
35160_at,LDB1,8861,LDB1,8861
206481_s_at,LDB2,9079,LDB2,9079
213371_at,LDB3,11155,LDB3,11155
213717_at,LDB3,11155,LDB3,11155
216887_s_at,LDB3,11155,LDB3,11155
216888_at,LDB3,11155,LDB3,11155
200650_s_at,LDHA,3939,LDHA,3939
210712_at,LDHAL6B,92483,LDHAL6B,92483
201030_x_at,LDHB,3945,LDHB,3945
213564_x_at,LDHB,3945,LDHB,3945
207022_s_at,LDHC,3948,LDHC,3948
202067_s_at,LDLR,3949,LDLR,3949
202068_s_at,LDLR,3949,LDLR,3949
217005_at,LDLR,3949,LDLR,3949
217103_at,LDLR,3949,LDLR,3949
217173_s_at,LDLR,3949,LDLR,3949
207996_s_at,LDLRAD4,753,LDLRAD4,753
209573_s_at,LDLRAD4,753,LDLRAD4,753
209574_s_at,LDLRAD4,753,LDLRAD4,753
221790_s_at,LDLRAP1,26119,LDLRAP1,26119
57082_at,LDLRAP1,26119,LDLRAP1,26119
204454_at,LDOC1,23641,LDOC1,23641
206309_at,LECT1,11061,LECT1,11061
207409_at,LECT2,3950,LECT2,3950
210948_s_at,LEF1,51176,LEF1,51176
221557_s_at,LEF1,51176,LEF1,51176
221558_s_at,LEF1,51176,LEF1,51176
206268_at,LEFTY1,10637,LEFTY1,10637
206012_at,LEFTY1///LEFTY2,10637///7044,LEFTY1///LEFTY2,10637///7044
218604_at,LEMD3,23592,LEMD3,23592
221115_s_at,LENEP,55891,LENEP,55891
207092_at,LEP,3952,LEP,3952
202377_at,LEPROT,54741,LEPROT,54741
202378_s_at,LEPROT,54741,LEPROT,54741
207255_at,LEPROT///LEPR,54741///3953,LEPROT///LEPR,54741///3953
209894_at,LEPROT///LEPR,54741///3953,LEPROT///LEPR,54741///3953
211354_s_at,LEPROT///LEPR,54741///3953,LEPROT///LEPR,54741///3953
211355_x_at,LEPROT///LEPR,54741///3953,LEPROT///LEPR,54741///3953
211356_x_at,LEPROT///LEPR,54741///3953,LEPROT///LEPR,54741///3953
202594_at,LEPROTL1,23484,LEPROTL1,23484
202595_s_at,LEPROTL1,23484,LEPROTL1,23484
218939_at,LETM1,3954,LETM1,3954
222006_at,LETM1,3954,LETM1,3954
207170_s_at,LETMD1,25875,LETMD1,25875
215270_at,LFNG,3955,LFNG,3955
201105_at,LGALS1,3956,LGALS1,3956
220440_at,LGALS13,29124,LGALS13,29124
220158_at,LGALS14,56891,LGALS14,56891
208450_at,LGALS2,3957,LGALS2,3957
208949_s_at,LGALS3,3958,LGALS3,3958
200923_at,LGALS3BP,3959,LGALS3BP,3959
204272_at,LGALS4,3960,LGALS4,3960
206400_at,LGALS7B///LGALS7,653499///3963,LGALS7B///LGALS7,653499///3963
208933_s_at,LGALS8,3964,LGALS8,3964
208934_s_at,LGALS8,3964,LGALS8,3964
208935_s_at,LGALS8,3964,LGALS8,3964
208936_x_at,LGALS8,3964,LGALS8,3964
210731_s_at,LGALS8,3964,LGALS8,3964
210732_s_at,LGALS8,3964,LGALS8,3964
203236_s_at,LGALS9,3965,LGALS9,3965
219998_at,LGALSL,29094,LGALSL,29094
206349_at,LGI1,9211,LGI1,9211
219699_at,LGI2,55203,LGI2,55203
201212_at,LGMN,5641,LGMN,5641
218326_s_at,LGR4,55366,LGR4,55366
210393_at,LGR5,8549,LGR5,8549
213880_at,LGR5,8549,LGR5,8549
220393_at,LGSN,51557,LGSN,51557
207240_s_at,LHCGR,3973,LHCGR,3973
218656_s_at,LHFP,10186,LHFP,10186
212658_at,LHFPL2,10184,LHFPL2,10184
218523_at,LHPP,64077,LHPP,64077
206230_at,LHX1,3975,LHX1,3975
206140_at,LHX2,9355,LHX2,9355
211219_s_at,LHX2,9355,LHX2,9355
221670_s_at,LHX3,8022,LHX3,8022
208333_at,LHX5,64211,LHX5,64211
219884_at,LHX6,26468,LHX6,26468
214045_at,LIAS,11019,LIAS,11019
205266_at,LIF,3976,LIF,3976
205876_at,LIFR,3977,LIFR,3977
202726_at,LIG1,3978,LIG1,3978
204123_at,LIG3,3980,LIG3,3980
207348_s_at,LIG3,3980,LIG3,3980
206235_at,LIG4,3981,LIG4,3981
207872_s_at,LILRA1,11024,LILRA1,11024
210660_at,LILRA1,11024,LILRA1,11024
207857_at,LILRA2,11027,LILRA2,11027
211100_x_at,LILRA2,11027,LILRA2,11027
211101_x_at,LILRA2,11027,LILRA2,11027
211102_s_at,LILRA2,11027,LILRA2,11027
206881_s_at,LILRA3,11026,LILRA3,11026
210313_at,LILRA4,23547,LILRA4,23547
215838_at,LILRA5,353514,LILRA5,353514
215839_at,LILRA5,353514,LILRA5,353514
208594_x_at,LILRA6,79168,LILRA6,79168
207104_x_at,LILRB1,10859,LILRB1,10859
211336_x_at,LILRB1,10859,LILRB1,10859
207697_x_at,LILRB2,10288,LILRB2,10288
210146_x_at,LILRB2,10288,LILRB2,10288
210225_x_at,LILRB3,11025,LILRB3,11025
210784_x_at,LILRB3,11025,LILRB3,11025
211133_x_at,LILRB3,11025,LILRB3,11025
211135_x_at,LILRB3,11025,LILRB3,11025
210152_at,LILRB4,11006,LILRB4,11006
206856_at,LILRB5,10990,LILRB5,10990
214561_at,LILRP2,79166,LILRP2,79166
220519_s_at,LIM2,3982,LIM2,3982
217892_s_at,LIMA1,51474,LIMA1,51474
212325_at,LIMCH1,22998,LIMCH1,22998
212327_at,LIMCH1,22998,LIMCH1,22998
212328_at,LIMCH1,22998,LIMCH1,22998
218850_s_at,LIMD1,8994,LIMD1,8994
222353_at,LIMD1,8994,LIMD1,8994
218600_at,LIMD2,80774,LIMD2,80774
219541_at,LIME1,54923,LIME1,54923
204356_at,LIMK1,3984,LIMK1,3984
204357_s_at,LIMK1,3984,LIMK1,3984
208372_s_at,LIMK1,3984,LIMK1,3984
202193_at,LIMK2,3985,LIMK2,3985
