"accession","archive","member","gsm","extracted_path","compressed_cel_readable","metadata_match"
"GSE41258","GSE41258_RAW.tar","GSM1012334_03657AR2.CEL.gz","GSM1012334","data/interim/cel/GSE41258/GSM1012334_03657AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012335_03657HR2.CEL.gz","GSM1012335","data/interim/cel/GSE41258/GSM1012335_03657HR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012336_03706AR2.CEL.gz","GSM1012336","data/interim/cel/GSE41258/GSM1012336_03706AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012337_03706HR2.CEL.gz","GSM1012337","data/interim/cel/GSE41258/GSM1012337_03706HR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012338_03752AR1.CEL.gz","GSM1012338","data/interim/cel/GSE41258/GSM1012338_03752AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012339_03753AR1.CEL.gz","GSM1012339","data/interim/cel/GSE41258/GSM1012339_03753AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012340_03753HR3.CEL.gz","GSM1012340","data/interim/cel/GSE41258/GSM1012340_03753HR3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012341_03777AR2.CEL.gz","GSM1012341","data/interim/cel/GSE41258/GSM1012341_03777AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012342_03777hr3.CEL.gz","GSM1012342","data/interim/cel/GSE41258/GSM1012342_03777hr3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012343_03820VR1.CEL.gz","GSM1012343","data/interim/cel/GSE41258/GSM1012343_03820VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012344_03862AR2.CEL.gz","GSM1012344","data/interim/cel/GSE41258/GSM1012344_03862AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012345_03862HR2.CEL.gz","GSM1012345","data/interim/cel/GSE41258/GSM1012345_03862HR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012346_04176AR2.CEL.gz","GSM1012346","data/interim/cel/GSE41258/GSM1012346_04176AR2.CEL.gz",TRUE,TRUE
