"probe_id","gene_symbol","entrez_id","symbol_count","entrez_count","mapping_status"
"11715248_s_at","CRISP2","7180",1,1,"mapped_unique"
"11715249_s_at","MAGEA12","4111",1,1,"mapped_unique"
"11715250_s_at","KIAA0825","285600",1,1,"mapped_unique"
"11715251_at","CHST7","56548",1,1,"mapped_unique"
"11715252_at","RSRC1","51319",1,1,"mapped_unique"
"11715253_s_at","KRTAP10-10","353333",2,2,"ambiguous"
"11715253_s_at","KRTAP10-6","386674",2,2,"ambiguous"
"11715254_s_at","DEFB134","613211",1,1,"mapped_unique"
"11715255_s_at","TAS2R30","259293",1,1,"mapped_unique"
"11715256_at","XAGE3","170626",1,1,"mapped_unique"
"11715257_x_at","XAGE3","170626",1,1,"mapped_unique"
"11715258_s_at","PTMS","5763",1,1,"mapped_unique"
"11715259_s_at","IFNA5","3442",1,1,"mapped_unique"
"11715260_at","METTL25B","51093",1,1,"mapped_unique"
"11715261_s_at","HNRNPCL2","440563",2,2,"ambiguous"
"11715261_s_at","HNRNPCL3","649330",2,2,"ambiguous"
"11715262_at","MTNR1A","4543",1,1,"mapped_unique"
"11715263_at","SPEF2","79925",1,1,"mapped_unique"
"11715264_s_at","UTS2R","2837",1,1,"mapped_unique"
"11715265_at","FIG4","9896",1,1,"mapped_unique"
"11715266_s_at","PKD1L3","342372",1,1,"mapped_unique"
"11715267_s_at","EPPK1","83481",1,1,"mapped_unique"
"11715268_s_at","GP1BB","2812",3,3,"ambiguous"
"11715268_s_at","SEPT5-GP1BB","100526833",3,3,"ambiguous"
"11715268_s_at","SEPTIN5","5413",3,3,"ambiguous"
"11715269_x_at","ALG1L1P","200810",1,1,"mapped_unique"
"11715270_s_at","KLF7","8609",1,1,"mapped_unique"
"11715271_s_at","DBET","100419743",11,11,"ambiguous"
"11715271_s_at","DUX4","100288687",11,11,"ambiguous"
"11715271_s_at","DUX4L1","22947",11,11,"ambiguous"
"11715271_s_at","DUX4L2","728410",11,11,"ambiguous"
"11715271_s_at","DUX4L24","102723449",11,11,"ambiguous"
"11715271_s_at","DUX4L3","653548",11,11,"ambiguous"
"11715271_s_at","DUX4L4","441056",11,11,"ambiguous"
"11715271_s_at","DUX4L5","653545",11,11,"ambiguous"
"11715271_s_at","DUX4L6","653544",11,11,"ambiguous"
"11715271_s_at","DUX4L7","653543",11,11,"ambiguous"
"11715271_s_at","DUX4L8","26583",11,11,"ambiguous"
"11715272_s_at","UGT2B11","10720",1,1,"mapped_unique"
"11715273_at","TPM2","7169",1,1,"mapped_unique"
"11715274_x_at","TPM2","7169",1,1,"mapped_unique"
"11715275_s_at","SSX1","6756",1,1,"mapped_unique"
"11715276_s_at","AURKAIP1","54998",1,1,"mapped_unique"
"11715277_s_at","AURKAIP1","54998",1,1,"mapped_unique"
"11715278_s_at","AURKAIP1","54998",1,1,"mapped_unique"
"11715279_x_at","PGAM4","441531",1,1,"mapped_unique"
"11715280_s_at","JUP","3728",2,2,"ambiguous"
"11715280_s_at","KRT17","3872",2,2,"ambiguous"
"11715281_at","ASIP","434",1,1,"mapped_unique"
